# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_4.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "GFP_4.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_4.bam
random177	HD2_scaffold_9	6098149	6099987	+	1839	461
random178	HD2_scaffold_3	12496149	12497237	+	1089	241
random179	HD2_scaffold_7	1647993	1649720	+	1728	311
random180	HD2_scaffold_4	11280909	11282538	+	1630	309
random181	HD2_scaffold_1	23543145	23568576	+	25432	4681
random182	HD2_scaffold_4	1413972	1417226	+	3255	615
random183	HD2_scaffold_8	12208500	12224311	+	15812	3117
random184	HD2_scaffold_4	12252847	12254763	+	1917	436
random185	HD2_scaffold_2	3417273	3419743	+	2471	513
random186	HD2_scaffold_9	3100417	3127027	+	26611	4813
random187	HD2_scaffold_3	19241108	19255127	+	14020	1956
random188	HD2_scaffold_2	22613208	22615046	+	1839	396
random189	HD2_scaffold_1	6776509	6777597	+	1089	270
random190	HD2_scaffold_10	8885740	8887467	+	1728	352
random191	HD2_scaffold_57	29657	31286	+	1630	517
random192	HD2_scaffold_10	6015073	6040504	+	25432	4442
random193	HD2_scaffold_5	11119911	11123165	+	3255	683
random194	HD2_scaffold_6	2061910	2077721	+	15812	1854
random195	HD2_scaffold_4	8094328	8096244	+	1917	399
random196	HD2_scaffold_28	52997	55467	+	2471	257
random197	HD2_scaffold_6	1382199	1408809	+	26611	2981
random198	HD2_scaffold_3	17535728	17549747	+	14020	3047
random199	HD2_scaffold_8	7804457	7806295	+	1839	306
random200	HD2_scaffold_3	2595414	2596502	+	1089	265
random201	HD2_scaffold_9	3539485	3541212	+	1728	343
random202	HD2_scaffold_5	2604506	2606135	+	1630	343
random203	HD2_scaffold_11	3417625	3443056	+	25432	5264
random204	HD2_scaffold_1	21029923	21033177	+	3255	668
random205	HD2_scaffold_1	3055712	3071523	+	15812	2655
random206	HD2_scaffold_1	2985794	2987710	+	1917	359
random207	HD2_scaffold_1	18068883	18071353	+	2471	494
random208	HD2_scaffold_12	6615637	6642247	+	26611	5464
random209	HD2_scaffold_3	11433454	11447473	+	14020	2314
random210	HD2_scaffold_6	1244024	1245862	+	1839	227
random211	HD2_scaffold_12	4411346	4412434	+	1089	226
random212	HD2_scaffold_2	1433228	1434955	+	1728	381
random213	HD2_scaffold_2	7235927	7237556	+	1630	370
random214	HD2_scaffold_6	7423295	7448726	+	25432	4974
random215	HD2_scaffold_249	6602	9856	+	3255	11260
random216	HD2_scaffold_17	6348	22159	+	15812	3912
random217	HD2_scaffold_1	11121493	11123409	+	1917	375
random218	HD2_scaffold_6	5131095	5133565	+	2471	424
random219	HD2_scaffold_3	18210390	18237000	+	26611	5055
random220	HD2_scaffold_166	2379	16398	+	14020	1589
random221	HD2_scaffold_189	520	2358	+	1839	193
random222	HD2_scaffold_6	3363593	3364681	+	1089	274
random223	HD2_scaffold_2	5931211	5932938	+	1728	387
random224	HD2_scaffold_6	13962349	13963978	+	1630	375
random225	HD2_scaffold_9	11084560	11109991	+	25432	3293
random226	HD2_scaffold_10	2035664	2038918	+	3255	420
random227	HD2_scaffold_10	6089920	6105731	+	15812	2991
random228	HD2_scaffold_35	31605	33521	+	1917	651
random229	HD2_scaffold_4	4669571	4672041	+	2471	545
random230	HD2_scaffold_6	13912813	13939423	+	26611	5194
random231	HD2_scaffold_3	16139259	16153278	+	14020	2686
random232	HD2_scaffold_4	11097357	11099195	+	1839	372
random233	HD2_scaffold_5	4076231	4077319	+	1089	232
random234	HD2_scaffold_6	13699447	13701174	+	1728	414
random235	HD2_scaffold_2	15278362	15279991	+	1630	361
random236	HD2_scaffold_1	19728388	19753819	+	25432	4659
random237	HD2_scaffold_3	6203584	6206838	+	3255	604
random238	HD2_scaffold_4	812417	828228	+	15812	2632
random239	HD2_scaffold_6	825419	827335	+	1917	315
random240	HD2_scaffold_15	86006	88476	+	2471	299
random241	HD2_scaffold_2	6078722	6105332	+	26611	4923
random242	HD2_scaffold_6	1327025	1341044	+	14020	2177
random243	HD2_scaffold_12	5099275	5101113	+	1839	101
random244	HD2_scaffold_2	18895459	18896547	+	1089	277
random245	HD2_scaffold_11	660154	661881	+	1728	358
random246	HD2_scaffold_4	15471346	15472975	+	1630	283
random247	HD2_scaffold_3	4307745	4333176	+	25432	5682
random248	HD2_scaffold_2	10249117	10252371	+	3255	647
random249	HD2_scaffold_5	15100652	15116463	+	15812	2238
random250	HD2_scaffold_4	7805619	7807535	+	1917	414
random251	HD2_scaffold_12	516350	518820	+	2471	483
random252	HD2_scaffold_10	884186	910796	+	26611	4206
random253	HD2_scaffold_2	18047408	18061427	+	14020	2733
random254	HD2_scaffold_10	7921269	7923107	+	1839	360
random255	HD2_scaffold_4	9374256	9375344	+	1089	245
random256	HD2_scaffold_5	6702466	6704193	+	1728	380
random257	HD2_scaffold_3	7653277	7654906	+	1630	327
random258	HD2_scaffold_8	11309584	11335015	+	25432	4631
random259	HD2_scaffold_8	8837294	8840548	+	3255	658
random260	HD2_scaffold_8	3309547	3325358	+	15812	3051
random261	HD2_scaffold_8	6506440	6508356	+	1917	444
random262	HD2_scaffold_9	6961803	6964273	+	2471	512
random263	HD2_scaffold_11	6248719	6275329	+	26611	4783
random264	HD2_scaffold_7	5146718	5160737	+	14020	2806
random265	HD2_scaffold_2	45963	47801	+	1839	405
random266	HD2_scaffold_3	7846688	7847776	+	1089	256
random267	HD2_scaffold_1	7798696	7800423	+	1728	364
random268	HD2_scaffold_3	17736645	17738274	+	1630	374
random269	HD2_scaffold_11	4633836	4659267	+	25432	4132
random270	HD2_scaffold_48	17384	20638	+	3255	797
random271	HD2_scaffold_4	1707750	1723561	+	15812	2969
random272	HD2_scaffold_7	10749185	10751101	+	1917	367
random273	HD2_scaffold_2	330451	332921	+	2471	491
random274	HD2_scaffold_8	1318393	1345003	+	26611	4747
random275	HD2_scaffold_11	4333607	4347626	+	14020	2087
random276	HD2_scaffold_1	13778729	13780567	+	1839	390
random277	HD2_scaffold_5	12619554	12620642	+	1089	215
random278	HD2_scaffold_10	4990624	4992351	+	1728	385
random279	HD2_scaffold_1	27407315	27408944	+	1630	388
random280	HD2_scaffold_1	9929656	9955087	+	25432	4817
random281	HD2_scaffold_10	6673320	6676574	+	3255	647
random282	HD2_scaffold_3	1773859	1789670	+	15812	2719
random283	HD2_scaffold_9	6775614	6777530	+	1917	394
random284	HD2_scaffold_1	12118647	12121117	+	2471	531
random285	HD2_scaffold_1	17757305	17783915	+	26611	4788
random286	HD2_scaffold_5	240905	254924	+	14020	2696
random287	HD2_scaffold_8	12209595	12211433	+	1839	433
random288	HD2_scaffold_5	9754469	9755557	+	1089	259
random289	HD2_scaffold_1	26245473	26247200	+	1728	319
random290	HD2_scaffold_7	10931522	10933151	+	1630	367
random291	HD2_scaffold_7	9923133	9948564	+	25432	4948
random292	HD2_scaffold_2	17264497	17267751	+	3255	601
random293	HD2_scaffold_2	19089911	19105722	+	15812	2832
random294	HD2_scaffold_6	816547	818463	+	1917	334
random295	HD2_scaffold_2	4048123	4050593	+	2471	379
random296	HD2_scaffold_5	2922390	2949000	+	26611	4985
random297	HD2_scaffold_1	26754994	26769013	+	14020	2565
random298	HD2_scaffold_5	3952756	3954594	+	1839	366
random299	HD2_scaffold_1	2173513	2174601	+	1089	258
random300	HD2_scaffold_2	7563581	7565308	+	1728	358
random301	HD2_scaffold_5	4959709	4961338	+	1630	330
random302	HD2_scaffold_6	2339371	2364802	+	25432	3742
random303	HD2_scaffold_1	26770989	26774243	+	3255	647
random304	HD2_scaffold_4	3787074	3802885	+	15812	2979
random305	HD2_scaffold_1	6605554	6607470	+	1917	421
random306	HD2_scaffold_6	11790491	11792961	+	2471	443
random307	HD2_scaffold_1	25803561	25830171	+	26611	5172
random308	HD2_scaffold_3	16869075	16883094	+	14020	2559
random309	HD2_scaffold_7	13026410	13028248	+	1839	393
random310	HD2_scaffold_2	14821267	14822355	+	1089	268
random311	HD2_scaffold_1	23844663	23846390	+	1728	310
random312	HD2_scaffold_3	10247497	10249126	+	1630	321
random313	HD2_scaffold_8	7438809	7464240	+	25432	3737
random314	HD2_scaffold_4	13998875	14002129	+	3255	634
random315	HD2_scaffold_9	10762643	10778454	+	15812	2224
random316	HD2_scaffold_10	820760	822676	+	1917	307
random317	HD2_scaffold_5	10142430	10144900	+	2471	510
random318	HD2_scaffold_11	4319129	4345739	+	26611	4087
random319	HD2_scaffold_10	765357	779376	+	14020	2098
random320	HD2_scaffold_1	26132238	26134076	+	1839	408
random321	HD2_scaffold_3	16037399	16038487	+	1089	147
random322	HD2_scaffold_5	14873224	14874951	+	1728	196
random323	HD2_scaffold_5	4998158	4999787	+	1630	384
random324	HD2_scaffold_3	9988208	10013639	+	25432	4082
random325	HD2_scaffold_11	1639576	1642830	+	3255	627
random326	HD2_scaffold_7	9091120	9106931	+	15812	3221
random327	HD2_scaffold_8	11404567	11406483	+	1917	313
random328	HD2_scaffold_1	3306185	3308655	+	2471	281
random329	HD2_scaffold_2	14531439	14558049	+	26611	5374
random330	HD2_scaffold_1	2204898	2218917	+	14020	2747
random331	HD2_scaffold_9	6760720	6762558	+	1839	164
random332	HD2_scaffold_2	7580332	7581420	+	1089	253
random333	HD2_scaffold_1	23973758	23975485	+	1728	348
random334	HD2_scaffold_5	12219777	12221406	+	1630	376
random335	HD2_scaffold_5	618550	643981	+	25432	5608
random336	HD2_scaffold_9	10955413	10958667	+	3255	473
random337	HD2_scaffold_6	5371932	5387743	+	15812	2901
random338	HD2_scaffold_6	12549340	12551256	+	1917	424
random339	HD2_scaffold_2	20880930	20883400	+	2471	556
random340	HD2_scaffold_9	1788750	1815360	+	26611	5165
random341	HD2_scaffold_1	20485535	20499554	+	14020	2430
random342	HD2_scaffold_8	9540282	9542120	+	1839	366
random343	HD2_scaffold_3	2211791	2212879	+	1089	269
random344	HD2_scaffold_1	4638781	4640508	+	1728	337
random345	HD2_scaffold_2	22426588	22428217	+	1630	311
random346	HD2_scaffold_6	223806	249237	+	25432	3785
random347	HD2_scaffold_3	4762508	4765762	+	3255	577
random348	HD2_scaffold_1	2478817	2494628	+	15812	2798
random349	HD2_scaffold_3	15119329	15121245	+	1917	380
random350	HD2_scaffold_507	2674	5144	+	2471	547
random351	HD2_scaffold_3	12644391	12671001	+	26611	4761
random352	HD2_scaffold_8	129324	143343	+	14020	3345
random353	HD2_scaffold_10	9118784	9120622	+	1839	388
random354	HD2_scaffold_2	3537800	3538888	+	1089	212
random355	HD2_scaffold_4	8514611	8516338	+	1728	403
random356	HD2_scaffold_1	9119699	9121328	+	1630	347
random357	HD2_scaffold_4	13361957	13387388	+	25432	4145
random358	HD2_scaffold_7	2129653	2132907	+	3255	516
random359	HD2_scaffold_5	10823100	10838911	+	15812	3065
random360	HD2_scaffold_11	3991954	3993870	+	1917	371
random361	HD2_scaffold_10	6596735	6599205	+	2471	450
random362	HD2_scaffold_1	4539253	4565863	+	26611	4623
random363	HD2_scaffold_1	29172453	29186472	+	14020	2261
random364	HD2_scaffold_7	7260075	7261913	+	1839	403
random365	HD2_scaffold_1	19432470	19433558	+	1089	270
random366	HD2_scaffold_3	7111366	7113093	+	1728	371
random367	HD2_scaffold_7	1227218	1228847	+	1630	314
random368	HD2_scaffold_12	4237442	4262873	+	25432	3477
random369	HD2_scaffold_3	15867958	15871212	+	3255	608
random370	HD2_scaffold_2	13224040	13239851	+	15812	3103
random371	HD2_scaffold_1	27273649	27275565	+	1917	406
random372	HD2_scaffold_8	12005575	12008045	+	2471	466
random373	HD2_scaffold_1	24719812	24746422	+	26611	4751
random374	HD2_scaffold_27	40979	54998	+	14020	2535
random375	HD2_scaffold_1	138476	140314	+	1839	295
random376	HD2_scaffold_10	6944918	6946006	+	1089	218
random377	HD2_scaffold_8	1830215	1831942	+	1728	313
random378	HD2_scaffold_5	13934357	13935986	+	1630	415
random379	HD2_scaffold_4	14812858	14838289	+	25432	3710
random380	HD2_scaffold_10	10824257	10827511	+	3255	678
random381	HD2_scaffold_9	10444861	10460672	+	15812	2354
random382	HD2_scaffold_10	7177656	7179572	+	1917	355
random383	HD2_scaffold_1	20354726	20357196	+	2471	532
random384	HD2_scaffold_4	6868577	6895187	+	26611	4962
random385	HD2_scaffold_10	8134784	8148803	+	14020	2598
random386	HD2_scaffold_5	7280165	7282003	+	1839	357
random387	HD2_scaffold_2	14456538	14457626	+	1089	249
random388	HD2_scaffold_2	20467756	20469483	+	1728	409
random389	HD2_scaffold_8	2381819	2383448	+	1630	398
random390	HD2_scaffold_4	813080	838511	+	25432	4040
random391	HD2_scaffold_12	4420726	4423980	+	3255	649
random392	HD2_scaffold_9	11702215	11718026	+	15812	1489
random393	HD2_scaffold_7	13802098	13804014	+	1917	861
random394	HD2_scaffold_6	2687543	2690013	+	2471	458
random395	HD2_scaffold_3	6316920	6343530	+	26611	5008
random396	HD2_scaffold_11	5536807	5550826	+	14020	2136
random397	HD2_scaffold_1	9247133	9248971	+	1839	358
random398	HD2_scaffold_139	24667	25755	+	1089	101
random399	HD2_scaffold_9	720020	721747	+	1728	395
random400	HD2_scaffold_3	13413865	13415494	+	1630	363
random401	HD2_scaffold_7	13759319	13784750	+	25432	4486
random402	HD2_scaffold_11	2126927	2130181	+	3255	483
random403	HD2_scaffold_6	11429083	11444894	+	15812	2993
random404	HD2_scaffold_8	5411097	5413013	+	1917	423
random405	HD2_scaffold_10	3400126	3402596	+	2471	486
random406	HD2_scaffold_7	10911411	10938021	+	26611	5233
random407	HD2_scaffold_1	655267	669286	+	14020	1500
random408	HD2_scaffold_6	2341471	2343309	+	1839	364
random409	HD2_scaffold_1	2215265	2216353	+	1089	251
random410	HD2_scaffold_5	10009298	10011025	+	1728	331
random411	HD2_scaffold_3	15506367	15507996	+	1630	308
random412	HD2_scaffold_10	1702854	1728285	+	25432	3823
random413	HD2_scaffold_3	11699393	11702647	+	3255	512
random414	HD2_scaffold_3	12057478	12073289	+	15812	2863
random415	HD2_scaffold_1	1879009	1880925	+	1917	247
random416	HD2_scaffold_3	18846147	18848617	+	2471	485
random417	HD2_scaffold_3	15663870	15690480	+	26611	5234
random418	HD2_scaffold_12	4771966	4785985	+	14020	1553
random419	HD2_scaffold_2	16449989	16451827	+	1839	411
random420	HD2_scaffold_12	6488280	6489368	+	1089	271
random421	HD2_scaffold_4	7585384	7587111	+	1728	396
random422	HD2_scaffold_5	1651866	1653495	+	1630	350
random423	HD2_scaffold_12	6541185	6566616	+	25432	4552
random424	HD2_scaffold_9	9562240	9565494	+	3255	621
random425	HD2_scaffold_5	1752506	1768317	+	15812	2961
random426	HD2_scaffold_10	10486852	10488768	+	1917	395
random427	HD2_scaffold_9	4111087	4113557	+	2471	529
random428	HD2_scaffold_1	7892502	7919112	+	26611	4732
random429	HD2_scaffold_12	1154584	1168603	+	14020	2669
random430	HD2_scaffold_3	20750066	20751904	+	1839	460
random431	HD2_scaffold_13	84167	85255	+	1089	223
random432	HD2_scaffold_5	11073910	11075637	+	1728	411
random433	HD2_scaffold_5	14713798	14715427	+	1630	299
random434	HD2_scaffold_11	3054812	3080243	+	25432	4167
random435	HD2_scaffold_6	12356140	12359394	+	3255	660
random436	HD2_scaffold_10	8374786	8390597	+	15812	2897
random437	HD2_scaffold_1	5738819	5740735	+	1917	364
random438	HD2_scaffold_7	2347145	2349615	+	2471	519
random439	HD2_scaffold_1	23695528	23722138	+	26611	5331
random440	HD2_scaffold_1	7537582	7551601	+	14020	2760
random441	HD2_scaffold_1	5028098	5029936	+	1839	427
random442	HD2_scaffold_10	7320135	7321223	+	1089	241
random443	HD2_scaffold_9	3050582	3052309	+	1728	318
random444	HD2_scaffold_7	3380288	3381917	+	1630	304
random445	HD2_scaffold_10	11096838	11122269	+	25432	4922
random446	HD2_scaffold_8	10586876	10590130	+	3255	591
random447	HD2_scaffold_9	11252795	11268606	+	15812	2698
random448	HD2_scaffold_5	9446922	9448838	+	1917	453
random449	HD2_scaffold_1	835888	838358	+	2471	288
random450	HD2_scaffold_9	6774520	6801130	+	26611	4856
random451	HD2_scaffold_77	24229	38248	+	14020	3751
random452	HD2_scaffold_7	3569440	3571278	+	1839	327
random453	HD2_scaffold_11	3495390	3496478	+	1089	292
random454	HD2_scaffold_6	9199433	9201160	+	1728	341
random455	HD2_scaffold_1	6370261	6371890	+	1630	329
random456	HD2_scaffold_2	698445	723876	+	25432	3521
random457	HD2_scaffold_5	9814150	9817404	+	3255	630
random458	HD2_scaffold_9	9860166	9875977	+	15812	3035
random459	HD2_scaffold_6	9260503	9262419	+	1917	448
random460	HD2_scaffold_7	9385537	9388007	+	2471	457
random461	HD2_scaffold_3	9878901	9905511	+	26611	4714
random462	HD2_scaffold_6	12076760	12090779	+	14020	2837
random463	HD2_scaffold_3	8339769	8341607	+	1839	434
random464	HD2_scaffold_9	11123333	11124421	+	1089	94
random465	HD2_scaffold_11	5888111	5889838	+	1728	254
random466	HD2_scaffold_11	389211	390840	+	1630	297
random467	HD2_scaffold_8	3137328	3162759	+	25432	4680
random468	HD2_scaffold_5	5847516	5850770	+	3255	579
