# Program:featureCounts v2.0.1; Command:"featureCounts" "../St3.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "St3.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../St3.bam
random40	HD2_scaffold_9	8645337	8661148	+	15812	12796
random41	HD2_scaffold_9	3884271	3886187	+	1917	1853
random42	HD2_scaffold_1	2878928	2881398	+	2471	1335
random43	HD2_scaffold_2	6717051	6743661	+	26611	23668
random44	HD2_scaffold_5	12987261	13001280	+	14020	11016
random45	HD2_scaffold_2	13803593	13805431	+	1839	1927
random46	HD2_scaffold_2	15159033	15160121	+	1089	1221
random47	HD2_scaffold_1	1691112	1692839	+	1728	965
random48	HD2_scaffold_1	20761001	20762630	+	1630	1252
random49	HD2_scaffold_11	1229674	1255105	+	25432	22326
random50	HD2_scaffold_4	1857674	1860928	+	3255	3208
random51	HD2_scaffold_9	12094859	12110670	+	15812	24024
random52	HD2_scaffold_4	5282750	5284666	+	1917	1949
random53	HD2_scaffold_5	8500201	8502671	+	2471	2602
random54	HD2_scaffold_5	4746524	4773134	+	26611	23944
random55	HD2_scaffold_1	17326560	17340579	+	14020	19054
random56	HD2_scaffold_1	10839709	10841547	+	1839	1932
random57	HD2_scaffold_4	9108072	9109160	+	1089	1422
random58	HD2_scaffold_2	22626379	22628106	+	1728	1971
random59	HD2_scaffold_8	12140787	12142416	+	1630	3073
random60	HD2_scaffold_1	7137240	7162671	+	25432	23645
random61	HD2_scaffold_7	3903549	3906803	+	3255	3159
random62	HD2_scaffold_8	9611160	9626971	+	15812	13878
random63	HD2_scaffold_6	10795884	10797800	+	1917	1811
random64	HD2_scaffold_6	11490074	11492544	+	2471	2522
random65	HD2_scaffold_10	6704855	6731465	+	26611	24032
random66	HD2_scaffold_11	584830	598849	+	14020	12326
random67	HD2_scaffold_376	8526	10364	+	1839	2703
random68	HD2_scaffold_1	27199843	27200931	+	1089	1230
random69	HD2_scaffold_8	1023712	1025439	+	1728	1776
random70	HD2_scaffold_4	13026256	13027885	+	1630	1507
random71	HD2_scaffold_5	11915450	11940881	+	25432	23127
random72	HD2_scaffold_10	2000434	2003688	+	3255	3096
random73	HD2_scaffold_10	2301037	2316848	+	15812	15463
random74	HD2_scaffold_9	5923748	5925664	+	1917	2098
random75	HD2_scaffold_8	5689450	5691920	+	2471	2817
random76	HD2_scaffold_1	24595899	24622509	+	26611	27801
random77	HD2_scaffold_3	18247163	18261182	+	14020	12665
random78	HD2_scaffold_7	3088251	3090089	+	1839	2023
random79	HD2_scaffold_8	9996649	9997737	+	1089	1257
random80	HD2_scaffold_5	3195250	3196977	+	1728	1636
random81	HD2_scaffold_6	8247175	8248804	+	1630	1810
random82	HD2_scaffold_2	3547385	3572816	+	25432	21810
random83	HD2_scaffold_1	11874856	11878110	+	3255	3044
random84	HD2_scaffold_4	8860739	8876550	+	15812	14876
random85	HD2_scaffold_1	19238879	19240795	+	1917	1915
random86	HD2_scaffold_2	4435867	4438337	+	2471	2916
random87	HD2_scaffold_1	1592295	1618905	+	26611	18130
random88	HD2_scaffold_9	3269937	3283956	+	14020	13351
random89	HD2_scaffold_7	11727714	11729552	+	1839	1689
random90	HD2_scaffold_7	4794061	4795149	+	1089	933
random91	HD2_scaffold_7	10761775	10763502	+	1728	1895
random92	HD2_scaffold_10	11261159	11262788	+	1630	976
random93	HD2_scaffold_3	2988316	3013747	+	25432	24972
random94	HD2_scaffold_12	1263231	1266485	+	3255	2970
random95	HD2_scaffold_1	2978816	2994627	+	15812	13444
random96	HD2_scaffold_70	1036	2952	+	1917	4200
random97	HD2_scaffold_3	4247149	4249619	+	2471	2165
random98	HD2_scaffold_6	8968416	8995026	+	26611	25188
random99	HD2_scaffold_5	10137026	10151045	+	14020	12742
random100	HD2_scaffold_9	3376256	3378094	+	1839	1957
random101	HD2_scaffold_10	8250580	8251668	+	1089	1222
random102	HD2_scaffold_11	425483	427210	+	1728	1761
random103	HD2_scaffold_7	5224399	5226028	+	1630	1769
random104	HD2_scaffold_3	19710014	19735445	+	25432	22224
random105	HD2_scaffold_12	5844469	5847723	+	3255	2079
random106	HD2_scaffold_3	18809799	18825610	+	15812	13343
random107	HD2_scaffold_3	4926037	4927953	+	1917	1850
random108	HD2_scaffold_8	7849903	7852373	+	2471	2163
random109	HD2_scaffold_1	25121289	25147899	+	26611	24250
random110	HD2_scaffold_4	5740839	5754858	+	14020	12501
random111	HD2_scaffold_1	24617060	24618898	+	1839	2307
random112	HD2_scaffold_8	2933938	2935026	+	1089	1306
random113	HD2_scaffold_1	12679474	12681201	+	1728	2246
random114	HD2_scaffold_7	10579724	10581353	+	1630	1692
random115	HD2_scaffold_1	9339692	9365123	+	25432	23218
random116	HD2_scaffold_10	9983420	9986674	+	3255	3302
random117	HD2_scaffold_9	228567	244378	+	15812	16216
random118	HD2_scaffold_9	10803530	10805446	+	1917	1848
random119	HD2_scaffold_10	11520043	11522513	+	2471	1058
random120	HD2_scaffold_6	3498595	3525205	+	26611	25562
random121	HD2_scaffold_4	15679869	15693888	+	14020	14171
random122	HD2_scaffold_4	14222535	14224373	+	1839	1747
random123	HD2_scaffold_1	17023581	17024669	+	1089	1164
random124	HD2_scaffold_2	12375450	12377177	+	1728	1782
random125	HD2_scaffold_290	8015	9644	+	1630	0
random126	HD2_scaffold_4	13813880	13839311	+	25432	22780
random127	HD2_scaffold_8	7637752	7641006	+	3255	2896
random128	HD2_scaffold_56	1975	17786	+	15812	18270
random129	HD2_scaffold_5	3717375	3719291	+	1917	1948
random130	HD2_scaffold_5	14236694	14239164	+	2471	1992
random131	HD2_scaffold_7	13264050	13290660	+	26611	22955
random132	HD2_scaffold_2	19800034	19814053	+	14020	13769
random133	HD2_scaffold_10	8442122	8443960	+	1839	1945
random134	HD2_scaffold_10	5531953	5533041	+	1089	1291
random135	HD2_scaffold_5	6496281	6498008	+	1728	1890
random136	HD2_scaffold_12	4142280	4143909	+	1630	1905
random137	HD2_scaffold_5	9816324	9841755	+	25432	23990
random138	HD2_scaffold_195	6828	10082	+	3255	5905
random139	HD2_scaffold_1	19426094	19441905	+	15812	15551
random140	HD2_scaffold_7	12013484	12015400	+	1917	1966
random141	HD2_scaffold_9	3464857	3467327	+	2471	2321
random142	HD2_scaffold_10	7267060	7293670	+	26611	25365
random143	HD2_scaffold_10	5745079	5759098	+	14020	13563
random144	HD2_scaffold_4	13008977	13010815	+	1839	1790
random145	HD2_scaffold_2	2225566	2226654	+	1089	824
random146	HD2_scaffold_12	5293418	5295145	+	1728	1745
random147	HD2_scaffold_10	2961903	2963532	+	1630	1271
random148	HD2_scaffold_12	1543489	1568920	+	25432	21540
random149	HD2_scaffold_46	12214	15468	+	3255	2761
random150	HD2_scaffold_4	6552842	6568653	+	15812	15630
random151	HD2_scaffold_42	15563	17479	+	1917	1714
random152	HD2_scaffold_7	9441619	9444089	+	2471	2686
random153	HD2_scaffold_5	13487249	13513859	+	26611	39232
random154	HD2_scaffold_4	10543036	10557055	+	14020	13786
random155	HD2_scaffold_3	6927406	6929244	+	1839	1926
random156	HD2_scaffold_10	11051176	11052264	+	1089	1293
random157	HD2_scaffold_10	6319561	6321288	+	1728	1913
random158	HD2_scaffold_11	26574	28203	+	1630	540
random159	HD2_scaffold_8	1144457	1169888	+	25432	23919
random160	HD2_scaffold_1	3922825	3926079	+	3255	3236
random161	HD2_scaffold_4	15004780	15020591	+	15812	14328
random162	HD2_scaffold_3	12737045	12738961	+	1917	1985
random163	HD2_scaffold_10	7061364	7063834	+	2471	2575
random164	HD2_scaffold_5	13265670	13292280	+	26611	23148
random165	HD2_scaffold_10	317127	331146	+	14020	15056
random166	HD2_scaffold_2	11025800	11027638	+	1839	1845
random167	HD2_scaffold_188	11552	12640	+	1089	1044
random168	HD2_scaffold_3	13295522	13297249	+	1728	1767
random169	HD2_scaffold_2	3210962	3212591	+	1630	1603
random170	HD2_scaffold_1	17377155	17402586	+	25432	22759
random171	HD2_scaffold_3	10029408	10032662	+	3255	3036
random172	HD2_scaffold_6	630195	646006	+	15812	12403
random173	HD2_scaffold_1	28375569	28377485	+	1917	1865
random174	HD2_scaffold_3	15521287	15523757	+	2471	2208
random175	HD2_scaffold_10	3625057	3651667	+	26611	62708
random176	HD2_scaffold_3	18465263	18479282	+	14020	10640
random177	HD2_scaffold_9	6098149	6099987	+	1839	1967
random178	HD2_scaffold_3	12496149	12497237	+	1089	1245
random179	HD2_scaffold_7	1647993	1649720	+	1728	1713
random180	HD2_scaffold_4	11280909	11282538	+	1630	1734
random181	HD2_scaffold_1	23543145	23568576	+	25432	23298
random182	HD2_scaffold_4	1413972	1417226	+	3255	3360
random183	HD2_scaffold_8	12208500	12224311	+	15812	15579
random184	HD2_scaffold_4	12252847	12254763	+	1917	1855
random185	HD2_scaffold_2	3417273	3419743	+	2471	2604
random186	HD2_scaffold_9	3100417	3127027	+	26611	24837
random187	HD2_scaffold_3	19241108	19255127	+	14020	11328
random188	HD2_scaffold_2	22613208	22615046	+	1839	2095
random189	HD2_scaffold_1	6776509	6777597	+	1089	1133
random190	HD2_scaffold_10	8885740	8887467	+	1728	1790
random191	HD2_scaffold_57	29657	31286	+	1630	2438
random192	HD2_scaffold_10	6015073	6040504	+	25432	24080
random193	HD2_scaffold_5	11119911	11123165	+	3255	3467
random194	HD2_scaffold_6	2061910	2077721	+	15812	9801
random195	HD2_scaffold_4	8094328	8096244	+	1917	2175
random196	HD2_scaffold_28	52997	55467	+	2471	674
random197	HD2_scaffold_6	1382199	1408809	+	26611	17043
random198	HD2_scaffold_3	17535728	17549747	+	14020	22831
random199	HD2_scaffold_8	7804457	7806295	+	1839	1772
random200	HD2_scaffold_3	2595414	2596502	+	1089	1204
random201	HD2_scaffold_9	3539485	3541212	+	1728	1730
random202	HD2_scaffold_5	2604506	2606135	+	1630	1892
random203	HD2_scaffold_11	3417625	3443056	+	25432	25879
random204	HD2_scaffold_1	21029923	21033177	+	3255	3284
random205	HD2_scaffold_1	3055712	3071523	+	15812	13909
random206	HD2_scaffold_1	2985794	2987710	+	1917	1952
random207	HD2_scaffold_1	18068883	18071353	+	2471	2583
random208	HD2_scaffold_12	6615637	6642247	+	26611	35605
random209	HD2_scaffold_3	11433454	11447473	+	14020	12549
random210	HD2_scaffold_6	1244024	1245862	+	1839	1491
random211	HD2_scaffold_12	4411346	4412434	+	1089	1009
random212	HD2_scaffold_2	1433228	1434955	+	1728	1961
random213	HD2_scaffold_2	7235927	7237556	+	1630	1685
random214	HD2_scaffold_6	7423295	7448726	+	25432	25048
random215	HD2_scaffold_249	6602	9856	+	3255	52203
random216	HD2_scaffold_17	6348	22159	+	15812	17574
random217	HD2_scaffold_1	11121493	11123409	+	1917	1886
random218	HD2_scaffold_6	5131095	5133565	+	2471	2473
random219	HD2_scaffold_3	18210390	18237000	+	26611	24270
random220	HD2_scaffold_166	2379	16398	+	14020	8747
random221	HD2_scaffold_189	520	2358	+	1839	1133
random222	HD2_scaffold_6	3363593	3364681	+	1089	1329
random223	HD2_scaffold_2	5931211	5932938	+	1728	1872
random224	HD2_scaffold_6	13962349	13963978	+	1630	1890
random225	HD2_scaffold_9	11084560	11109991	+	25432	17681
random226	HD2_scaffold_10	2035664	2038918	+	3255	2381
random227	HD2_scaffold_10	6089920	6105731	+	15812	14250
random228	HD2_scaffold_35	31605	33521	+	1917	3120
random229	HD2_scaffold_4	4669571	4672041	+	2471	2416
random230	HD2_scaffold_6	13912813	13939423	+	26611	24843
random231	HD2_scaffold_3	16139259	16153278	+	14020	13845
random232	HD2_scaffold_4	11097357	11099195	+	1839	1959
random233	HD2_scaffold_5	4076231	4077319	+	1089	1149
random234	HD2_scaffold_6	13699447	13701174	+	1728	1769
random235	HD2_scaffold_2	15278362	15279991	+	1630	1694
random236	HD2_scaffold_1	19728388	19753819	+	25432	23181
random237	HD2_scaffold_3	6203584	6206838	+	3255	3293
random238	HD2_scaffold_4	812417	828228	+	15812	13798
random239	HD2_scaffold_6	825419	827335	+	1917	1626
random240	HD2_scaffold_15	86006	88476	+	2471	2165
random241	HD2_scaffold_2	6078722	6105332	+	26611	24878
random242	HD2_scaffold_6	1327025	1341044	+	14020	12509
random243	HD2_scaffold_12	5099275	5101113	+	1839	621
random244	HD2_scaffold_2	18895459	18896547	+	1089	1164
random245	HD2_scaffold_11	660154	661881	+	1728	1829
random246	HD2_scaffold_4	15471346	15472975	+	1630	1716
random247	HD2_scaffold_3	4307745	4333176	+	25432	26009
random248	HD2_scaffold_2	10249117	10252371	+	3255	2966
random249	HD2_scaffold_5	15100652	15116463	+	15812	11827
random250	HD2_scaffold_4	7805619	7807535	+	1917	2011
random251	HD2_scaffold_12	516350	518820	+	2471	2414
random252	HD2_scaffold_10	884186	910796	+	26611	22664
random253	HD2_scaffold_2	18047408	18061427	+	14020	13280
random254	HD2_scaffold_10	7921269	7923107	+	1839	2063
random255	HD2_scaffold_4	9374256	9375344	+	1089	1179
random256	HD2_scaffold_5	6702466	6704193	+	1728	1904
random257	HD2_scaffold_3	7653277	7654906	+	1630	1709
random258	HD2_scaffold_8	11309584	11335015	+	25432	22098
random259	HD2_scaffold_8	8837294	8840548	+	3255	3130
random260	HD2_scaffold_8	3309547	3325358	+	15812	15034
random261	HD2_scaffold_8	6506440	6508356	+	1917	2401
random262	HD2_scaffold_9	6961803	6964273	+	2471	3191
random263	HD2_scaffold_11	6248719	6275329	+	26611	23308
random264	HD2_scaffold_7	5146718	5160737	+	14020	13148
random265	HD2_scaffold_2	45963	47801	+	1839	2642
random266	HD2_scaffold_3	7846688	7847776	+	1089	1286
random267	HD2_scaffold_1	7798696	7800423	+	1728	1762
random268	HD2_scaffold_3	17736645	17738274	+	1630	1713
random269	HD2_scaffold_11	4633836	4659267	+	25432	21520
random270	HD2_scaffold_48	17384	20638	+	3255	5053
random271	HD2_scaffold_4	1707750	1723561	+	15812	14430
random272	HD2_scaffold_7	10749185	10751101	+	1917	2174
random273	HD2_scaffold_2	330451	332921	+	2471	2734
random274	HD2_scaffold_8	1318393	1345003	+	26611	23972
random275	HD2_scaffold_11	4333607	4347626	+	14020	11559
random276	HD2_scaffold_1	13778729	13780567	+	1839	1955
random277	HD2_scaffold_5	12619554	12620642	+	1089	1163
random278	HD2_scaffold_10	4990624	4992351	+	1728	1919
random279	HD2_scaffold_1	27407315	27408944	+	1630	1793
random280	HD2_scaffold_1	9929656	9955087	+	25432	22964
random281	HD2_scaffold_10	6673320	6676574	+	3255	3060
random282	HD2_scaffold_3	1773859	1789670	+	15812	14242
random283	HD2_scaffold_9	6775614	6777530	+	1917	2012
random284	HD2_scaffold_1	12118647	12121117	+	2471	2834
random285	HD2_scaffold_1	17757305	17783915	+	26611	24663
random286	HD2_scaffold_5	240905	254924	+	14020	13353
random287	HD2_scaffold_8	12209595	12211433	+	1839	1901
random288	HD2_scaffold_5	9754469	9755557	+	1089	1298
random289	HD2_scaffold_1	26245473	26247200	+	1728	1793
random290	HD2_scaffold_7	10931522	10933151	+	1630	1825
random291	HD2_scaffold_7	9923133	9948564	+	25432	23543
random292	HD2_scaffold_2	17264497	17267751	+	3255	2990
random293	HD2_scaffold_2	19089911	19105722	+	15812	14551
random294	HD2_scaffold_6	816547	818463	+	1917	1859
random295	HD2_scaffold_2	4048123	4050593	+	2471	2349
random296	HD2_scaffold_5	2922390	2949000	+	26611	25916
random297	HD2_scaffold_1	26754994	26769013	+	14020	12676
random298	HD2_scaffold_5	3952756	3954594	+	1839	1937
random299	HD2_scaffold_1	2173513	2174601	+	1089	1438
random300	HD2_scaffold_2	7563581	7565308	+	1728	1838
random301	HD2_scaffold_5	4959709	4961338	+	1630	1660
random302	HD2_scaffold_6	2339371	2364802	+	25432	21276
random303	HD2_scaffold_1	26770989	26774243	+	3255	3160
random304	HD2_scaffold_4	3787074	3802885	+	15812	14996
random305	HD2_scaffold_1	6605554	6607470	+	1917	2097
random306	HD2_scaffold_6	11790491	11792961	+	2471	2327
random307	HD2_scaffold_1	25803561	25830171	+	26611	24752
random308	HD2_scaffold_3	16869075	16883094	+	14020	12920
random309	HD2_scaffold_7	13026410	13028248	+	1839	1859
random310	HD2_scaffold_2	14821267	14822355	+	1089	1313
random311	HD2_scaffold_1	23844663	23846390	+	1728	1604
random312	HD2_scaffold_3	10247497	10249126	+	1630	1698
random313	HD2_scaffold_8	7438809	7464240	+	25432	22151
random314	HD2_scaffold_4	13998875	14002129	+	3255	3158
random315	HD2_scaffold_9	10762643	10778454	+	15812	11630
random316	HD2_scaffold_10	820760	822676	+	1917	1519
random317	HD2_scaffold_5	10142430	10144900	+	2471	2408
random318	HD2_scaffold_11	4319129	4345739	+	26611	22215
random319	HD2_scaffold_10	765357	779376	+	14020	10878
random320	HD2_scaffold_1	26132238	26134076	+	1839	2196
random321	HD2_scaffold_3	16037399	16038487	+	1089	898
random322	HD2_scaffold_5	14873224	14874951	+	1728	1214
random323	HD2_scaffold_5	4998158	4999787	+	1630	1596
random324	HD2_scaffold_3	9988208	10013639	+	25432	21208
random325	HD2_scaffold_11	1639576	1642830	+	3255	3373
random326	HD2_scaffold_7	9091120	9106931	+	15812	14648
random327	HD2_scaffold_8	11404567	11406483	+	1917	1638
random328	HD2_scaffold_1	3306185	3308655	+	2471	1278
random329	HD2_scaffold_2	14531439	14558049	+	26611	29125
random330	HD2_scaffold_1	2204898	2218917	+	14020	16947
random331	HD2_scaffold_9	6760720	6762558	+	1839	1400
random332	HD2_scaffold_2	7580332	7581420	+	1089	1214
random333	HD2_scaffold_1	23973758	23975485	+	1728	1754
random334	HD2_scaffold_5	12219777	12221406	+	1630	1895
random335	HD2_scaffold_5	618550	643981	+	25432	28147
random336	HD2_scaffold_9	10955413	10958667	+	3255	2807
random337	HD2_scaffold_6	5371932	5387743	+	15812	15150
random338	HD2_scaffold_6	12549340	12551256	+	1917	2083
random339	HD2_scaffold_2	20880930	20883400	+	2471	2788
random340	HD2_scaffold_9	1788750	1815360	+	26611	26796
random341	HD2_scaffold_1	20485535	20499554	+	14020	12059
random342	HD2_scaffold_8	9540282	9542120	+	1839	1931
random343	HD2_scaffold_3	2211791	2212879	+	1089	1291
random344	HD2_scaffold_1	4638781	4640508	+	1728	1910
random345	HD2_scaffold_2	22426588	22428217	+	1630	1728
random346	HD2_scaffold_6	223806	249237	+	25432	19766
random347	HD2_scaffold_3	4762508	4765762	+	3255	2946
random348	HD2_scaffold_1	2478817	2494628	+	15812	14633
random349	HD2_scaffold_3	15119329	15121245	+	1917	2035
random350	HD2_scaffold_507	2674	5144	+	2471	4008
random351	HD2_scaffold_3	12644391	12671001	+	26611	23709
random352	HD2_scaffold_8	129324	143343	+	14020	15341
random353	HD2_scaffold_10	9118784	9120622	+	1839	1938
random354	HD2_scaffold_2	3537800	3538888	+	1089	1140
random355	HD2_scaffold_4	8514611	8516338	+	1728	2043
random356	HD2_scaffold_1	9119699	9121328	+	1630	1912
random357	HD2_scaffold_4	13361957	13387388	+	25432	21291
random358	HD2_scaffold_7	2129653	2132907	+	3255	2961
random359	HD2_scaffold_5	10823100	10838911	+	15812	14447
random360	HD2_scaffold_11	3991954	3993870	+	1917	1922
random361	HD2_scaffold_10	6596735	6599205	+	2471	2574
random362	HD2_scaffold_1	4539253	4565863	+	26611	23881
random363	HD2_scaffold_1	29172453	29186472	+	14020	10997
random364	HD2_scaffold_7	7260075	7261913	+	1839	1959
random365	HD2_scaffold_1	19432470	19433558	+	1089	1245
random366	HD2_scaffold_3	7111366	7113093	+	1728	1910
random367	HD2_scaffold_7	1227218	1228847	+	1630	1686
random368	HD2_scaffold_12	4237442	4262873	+	25432	19528
random369	HD2_scaffold_3	15867958	15871212	+	3255	3575
random370	HD2_scaffold_2	13224040	13239851	+	15812	14689
random371	HD2_scaffold_1	27273649	27275565	+	1917	1836
random372	HD2_scaffold_8	12005575	12008045	+	2471	2087
random373	HD2_scaffold_1	24719812	24746422	+	26611	23422
random374	HD2_scaffold_27	40979	54998	+	14020	11761
random375	HD2_scaffold_1	138476	140314	+	1839	1714
random376	HD2_scaffold_10	6944918	6946006	+	1089	1189
random377	HD2_scaffold_8	1830215	1831942	+	1728	1881
random378	HD2_scaffold_5	13934357	13935986	+	1630	2475
random379	HD2_scaffold_4	14812858	14838289	+	25432	20035
random380	HD2_scaffold_10	10824257	10827511	+	3255	3153
random381	HD2_scaffold_9	10444861	10460672	+	15812	13490
random382	HD2_scaffold_10	7177656	7179572	+	1917	1871
random383	HD2_scaffold_1	20354726	20357196	+	2471	2379
random384	HD2_scaffold_4	6868577	6895187	+	26611	24808
random385	HD2_scaffold_10	8134784	8148803	+	14020	13510
random386	HD2_scaffold_5	7280165	7282003	+	1839	1923
random387	HD2_scaffold_2	14456538	14457626	+	1089	1243
random388	HD2_scaffold_2	20467756	20469483	+	1728	1897
random389	HD2_scaffold_8	2381819	2383448	+	1630	1806
random390	HD2_scaffold_4	813080	838511	+	25432	21693
random391	HD2_scaffold_12	4420726	4423980	+	3255	3079
random392	HD2_scaffold_9	11702215	11718026	+	15812	9003
random393	HD2_scaffold_7	13802098	13804014	+	1917	4366
random394	HD2_scaffold_6	2687543	2690013	+	2471	2268
random395	HD2_scaffold_3	6316920	6343530	+	26611	24252
random396	HD2_scaffold_11	5536807	5550826	+	14020	11282
random397	HD2_scaffold_1	9247133	9248971	+	1839	1872
random398	HD2_scaffold_139	24667	25755	+	1089	577
random399	HD2_scaffold_9	720020	721747	+	1728	1852
random400	HD2_scaffold_3	13413865	13415494	+	1630	1690
random401	HD2_scaffold_7	13759319	13784750	+	25432	22901
random402	HD2_scaffold_11	2126927	2130181	+	3255	2705
random403	HD2_scaffold_6	11429083	11444894	+	15812	15100
random404	HD2_scaffold_8	5411097	5413013	+	1917	2078
random405	HD2_scaffold_10	3400126	3402596	+	2471	2489
random406	HD2_scaffold_7	10911411	10938021	+	26611	25692
random407	HD2_scaffold_1	655267	669286	+	14020	8109
random408	HD2_scaffold_6	2341471	2343309	+	1839	1817
random409	HD2_scaffold_1	2215265	2216353	+	1089	1602
random410	HD2_scaffold_5	10009298	10011025	+	1728	1722
random411	HD2_scaffold_3	15506367	15507996	+	1630	1730
random412	HD2_scaffold_10	1702854	1728285	+	25432	22316
random413	HD2_scaffold_3	11699393	11702647	+	3255	2931
random414	HD2_scaffold_3	12057478	12073289	+	15812	14364
random415	HD2_scaffold_1	1879009	1880925	+	1917	1339
random416	HD2_scaffold_3	18846147	18848617	+	2471	2318
random417	HD2_scaffold_3	15663870	15690480	+	26611	26119
random418	HD2_scaffold_12	4771966	4785985	+	14020	8558
random419	HD2_scaffold_2	16449989	16451827	+	1839	1968
random420	HD2_scaffold_12	6488280	6489368	+	1089	1149
random421	HD2_scaffold_4	7585384	7587111	+	1728	1922
random422	HD2_scaffold_5	1651866	1653495	+	1630	1692
random423	HD2_scaffold_12	6541185	6566616	+	25432	22813
random424	HD2_scaffold_9	9562240	9565494	+	3255	3138
random425	HD2_scaffold_5	1752506	1768317	+	15812	15147
random426	HD2_scaffold_10	10486852	10488768	+	1917	2024
random427	HD2_scaffold_9	4111087	4113557	+	2471	2694
random428	HD2_scaffold_1	7892502	7919112	+	26611	24478
random429	HD2_scaffold_12	1154584	1168603	+	14020	13497
random430	HD2_scaffold_3	20750066	20751904	+	1839	3218
random431	HD2_scaffold_13	84167	85255	+	1089	1074
random432	HD2_scaffold_5	11073910	11075637	+	1728	1975
random433	HD2_scaffold_5	14713798	14715427	+	1630	1445
random434	HD2_scaffold_11	3054812	3080243	+	25432	22042
random435	HD2_scaffold_6	12356140	12359394	+	3255	3230
random436	HD2_scaffold_10	8374786	8390597	+	15812	14637
random437	HD2_scaffold_1	5738819	5740735	+	1917	1926
random438	HD2_scaffold_7	2347145	2349615	+	2471	2467
random439	HD2_scaffold_1	23695528	23722138	+	26611	25523
random440	HD2_scaffold_1	7537582	7551601	+	14020	13159
random441	HD2_scaffold_1	5028098	5029936	+	1839	2002
random442	HD2_scaffold_10	7320135	7321223	+	1089	1198
random443	HD2_scaffold_9	3050582	3052309	+	1728	1893
random444	HD2_scaffold_7	3380288	3381917	+	1630	1814
random445	HD2_scaffold_10	11096838	11122269	+	25432	22644
random446	HD2_scaffold_8	10586876	10590130	+	3255	2803
random447	HD2_scaffold_9	11252795	11268606	+	15812	14823
random448	HD2_scaffold_5	9446922	9448838	+	1917	2175
random449	HD2_scaffold_1	835888	838358	+	2471	1717
random450	HD2_scaffold_9	6774520	6801130	+	26611	23641
random451	HD2_scaffold_77	24229	38248	+	14020	17848
random452	HD2_scaffold_7	3569440	3571278	+	1839	1995
random453	HD2_scaffold_11	3495390	3496478	+	1089	1522
random454	HD2_scaffold_6	9199433	9201160	+	1728	1709
random455	HD2_scaffold_1	6370261	6371890	+	1630	1490
random456	HD2_scaffold_2	698445	723876	+	25432	19713
random457	HD2_scaffold_5	9814150	9817404	+	3255	3482
random458	HD2_scaffold_9	9860166	9875977	+	15812	13988
random459	HD2_scaffold_6	9260503	9262419	+	1917	2313
