# Program:featureCounts v2.0.1; Command:"featureCounts" "../St1.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "St1.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../St1.bam
random126	HD2_scaffold_1	20873213	20881165	+	7953	18958
random127	HD2_scaffold_5	4237901	4239951	+	2051	5566
random128	HD2_scaffold_4	2536801	2541014	+	4214	10560
random129	HD2_scaffold_10	5789024	5794780	+	5757	14033
random130	HD2_scaffold_6	8461575	8465068	+	3494	8667
random131	HD2_scaffold_8	1904121	1922012	+	17892	41466
random132	HD2_scaffold_4	2371256	2386026	+	14771	34084
random133	HD2_scaffold_1	22288497	22292615	+	4119	10145
random134	HD2_scaffold_6	1545141	1549142	+	4002	9979
random135	HD2_scaffold_10	844080	848150	+	4071	10743
random136	HD2_scaffold_6	12306913	12320625	+	13713	31734
random137	HD2_scaffold_3	20088551	20093053	+	4503	9278
random138	HD2_scaffold_5	5575555	5583620	+	8066	20591
random139	HD2_scaffold_10	9515212	9529148	+	13937	32260
random140	HD2_scaffold_1	27707615	27718075	+	10461	25654
random141	HD2_scaffold_9	11544099	11545635	+	1537	1501
random142	HD2_scaffold_1	13798867	13805730	+	6864	16590
random143	HD2_scaffold_1	24977989	24985344	+	7356	17617
random144	HD2_scaffold_8	10407486	10417811	+	10326	22924
random145	HD2_scaffold_3	17410609	17418338	+	7730	17740
random146	HD2_scaffold_7	7002872	7008790	+	5919	14726
random147	HD2_scaffold_8	8476623	8481318	+	4696	11182
random148	HD2_scaffold_2	10481735	10485856	+	4122	9584
random149	HD2_scaffold_6	6587664	6591025	+	3362	8174
random150	HD2_scaffold_608	266	4722	+	4457	10129
random151	HD2_scaffold_4	10635608	10639781	+	4174	10210
random152	HD2_scaffold_10	10836010	10842516	+	6507	15902
random153	HD2_scaffold_10	11009069	11018258	+	9190	21415
random154	HD2_scaffold_1	24492281	24499984	+	7704	18081
random155	HD2_scaffold_4	5110938	5116839	+	5902	13629
random156	HD2_scaffold_5	14847659	14852014	+	4356	9201
random157	HD2_scaffold_9	7356604	7361300	+	4697	11605
random158	HD2_scaffold_140	21194	25028	+	3835	10070
random159	HD2_scaffold_1	23645847	23650833	+	4987	12596
random160	HD2_scaffold_2	21486617	21491812	+	5196	13348
random161	HD2_scaffold_3	9582001	9589916	+	7916	18963
random162	HD2_scaffold_9	5905881	5909037	+	3157	9033
random163	HD2_scaffold_9	7703686	7708053	+	4368	10689
random164	HD2_scaffold_4	9677283	9682631	+	5349	13571
random165	HD2_scaffold_2	19598243	19608256	+	10014	24932
random166	HD2_scaffold_9	8824307	8828014	+	3708	9460
random167	HD2_scaffold_9	3989794	3994407	+	4614	11001
random168	HD2_scaffold_1	10186542	10190251	+	3710	9285
random169	HD2_scaffold_9	9630901	9635918	+	5018	9406
random170	HD2_scaffold_11	3395050	3398713	+	3664	8564
random171	HD2_scaffold_3	20580976	20584713	+	3738	8801
random172	HD2_scaffold_11	1045864	1051650	+	5787	12280
random173	HD2_scaffold_10	765491	770755	+	5265	12802
random174	HD2_scaffold_9	8723386	8727494	+	4109	9291
random175	HD2_scaffold_3	15083012	15087170	+	4159	10259
random176	HD2_scaffold_2	190012	194189	+	4178	9243
random177	HD2_scaffold_3	18055895	18058903	+	3009	7182
random178	HD2_scaffold_3	16710894	16715724	+	4831	11683
random179	HD2_scaffold_3	16315497	16319660	+	4164	9724
random180	HD2_scaffold_5	7512232	7521904	+	9673	24384
random181	HD2_scaffold_4	13358016	13362455	+	4440	10429
random182	HD2_scaffold_1	27646342	27654294	+	7953	17502
random183	HD2_scaffold_2	4084860	4086910	+	2051	5353
random184	HD2_scaffold_5	8021182	8025395	+	4214	10529
random185	HD2_scaffold_2	15357924	15363680	+	5757	11196
random186	HD2_scaffold_5	462431	465924	+	3494	8882
random187	HD2_scaffold_8	4142508	4160399	+	17892	42834
random188	HD2_scaffold_1	18715058	18729828	+	14771	34864
random189	HD2_scaffold_3	9758948	9763066	+	4119	9809
random190	HD2_scaffold_10	6115477	6119478	+	4002	10285
random191	HD2_scaffold_353	2116	6186	+	4071	8705
random192	HD2_scaffold_3	17222637	17236349	+	13713	31391
random193	HD2_scaffold_1	12200836	12205338	+	4503	9541
random194	HD2_scaffold_2	20064988	20073053	+	8066	18552
random195	HD2_scaffold_6	10386451	10400387	+	13937	31537
random196	HD2_scaffold_6	4124006	4134466	+	10461	24702
random197	HD2_scaffold_5	11765183	11766719	+	1537	4094
random198	HD2_scaffold_9	9692269	9699132	+	6864	16499
random199	HD2_scaffold_3	19079673	19087028	+	7356	16733
random200	HD2_scaffold_11	4918255	4928580	+	10326	20353
random201	HD2_scaffold_1	7309301	7317030	+	7730	17665
random202	HD2_scaffold_2	11088988	11094906	+	5919	15279
random203	HD2_scaffold_5	14346514	14351209	+	4696	7133
random204	HD2_scaffold_3	9581945	9586066	+	4122	10514
random205	HD2_scaffold_3	3529273	3532634	+	3362	8197
random206	HD2_scaffold_10	1430076	1434532	+	4457	11443
random207	HD2_scaffold_5	10171812	10175985	+	4174	11099
random208	HD2_scaffold_5	5763166	5769672	+	6507	15567
random209	HD2_scaffold_7	13998766	14007955	+	9190	22147
random210	HD2_scaffold_6	1316128	1323831	+	7704	11487
random211	HD2_scaffold_2	3122405	3128306	+	5902	14318
random212	HD2_scaffold_6	2914914	2919269	+	4356	10448
random213	HD2_scaffold_8	973579	978275	+	4697	11461
random214	HD2_scaffold_1	23588770	23592604	+	3835	9716
random215	HD2_scaffold_5	10928082	10933068	+	4987	12615
random216	HD2_scaffold_3	12994858	13000053	+	5196	12232
random217	HD2_scaffold_8	5915832	5923747	+	7916	19336
random218	HD2_scaffold_4	4513096	4516252	+	3157	8323
random219	HD2_scaffold_2	9883535	9887902	+	4368	10725
random220	HD2_scaffold_9	5270415	5275763	+	5349	14552
random221	HD2_scaffold_1	8843658	8853671	+	10014	25422
random222	HD2_scaffold_10	5557193	5560900	+	3708	9226
random223	HD2_scaffold_3	18957423	18962036	+	4614	12255
random224	HD2_scaffold_18	41736	45445	+	3710	11040
random225	HD2_scaffold_9	1261281	1266298	+	5018	12285
random226	HD2_scaffold_2	4126325	4129988	+	3664	9373
random227	HD2_scaffold_7	8230154	8233891	+	3738	9700
random228	HD2_scaffold_9	10489581	10495367	+	5787	16828
random229	HD2_scaffold_4	5060151	5065415	+	5265	12933
random230	HD2_scaffold_4	4093657	4097765	+	4109	10201
random231	HD2_scaffold_3	9492829	9496987	+	4159	10256
random232	HD2_scaffold_8	5626377	5630554	+	4178	10587
random233	HD2_scaffold_2	5121194	5124202	+	3009	7780
random234	HD2_scaffold_2	133745	138575	+	4831	12606
random235	HD2_scaffold_9	5695549	5699712	+	4164	10099
random236	HD2_scaffold_3	4660500	4670172	+	9673	24113
random237	HD2_scaffold_8	11158098	11162537	+	4440	9168
random238	HD2_scaffold_4	10037132	10045084	+	7953	19955
random239	HD2_scaffold_7	12933315	12935365	+	2051	5141
random240	HD2_scaffold_1	11292320	11296533	+	4214	10823
random241	HD2_scaffold_3	9094902	9100658	+	5757	13555
random242	HD2_scaffold_3	7814143	7817636	+	3494	8650
random243	HD2_scaffold_3	1058110	1076001	+	17892	43301
random244	HD2_scaffold_6	2774109	2788879	+	14771	33192
random245	HD2_scaffold_1	17023099	17027217	+	4119	10283
random246	HD2_scaffold_8	6182099	6186100	+	4002	10179
random247	HD2_scaffold_7	3777905	3781975	+	4071	10045
random248	HD2_scaffold_9	2357683	2371395	+	13713	32615
random249	HD2_scaffold_8	114343	118845	+	4503	10341
random250	HD2_scaffold_1	11161734	11169799	+	8066	19227
random251	HD2_scaffold_3	1608267	1622203	+	13937	22718
random252	HD2_scaffold_1	21521462	21531922	+	10461	23876
random253	HD2_scaffold_12	961998	963534	+	1537	4266
random254	HD2_scaffold_9	318637	325500	+	6864	15508
random255	HD2_scaffold_5	4091029	4098384	+	7356	17733
random256	HD2_scaffold_2	5492190	5502515	+	10326	24860
random257	HD2_scaffold_4	15676614	15684343	+	7730	19227
random258	HD2_scaffold_8	9289324	9295242	+	5919	13996
random259	HD2_scaffold_2	14506128	14510823	+	4696	11891
random260	HD2_scaffold_2	18633030	18637151	+	4122	10435
random261	HD2_scaffold_7	3986733	3990094	+	3362	8441
random262	HD2_scaffold_341	2629	7085	+	4457	11104
random263	HD2_scaffold_8	9551659	9555832	+	4174	10708
random264	HD2_scaffold_4	12055279	12061785	+	6507	14717
random265	HD2_scaffold_10	7344306	7353495	+	9190	22306
random266	HD2_scaffold_2	15320929	15328632	+	7704	16281
random267	HD2_scaffold_8	3531392	3537293	+	5902	13997
random268	HD2_scaffold_5	10707332	10711687	+	4356	11249
random269	HD2_scaffold_11	678417	683113	+	4697	11422
random270	HD2_scaffold_3	12388769	12392603	+	3835	9707
random271	HD2_scaffold_3	6416507	6421493	+	4987	13007
random272	HD2_scaffold_6	8493097	8498292	+	5196	13530
random273	HD2_scaffold_5	11419440	11427355	+	7916	19707
random274	HD2_scaffold_5	7337744	7340900	+	3157	8071
random275	HD2_scaffold_6	6439431	6443798	+	4368	11438
random276	HD2_scaffold_7	3180991	3186339	+	5349	14643
random277	HD2_scaffold_3	1378253	1388266	+	10014	23979
random278	HD2_scaffold_1	13534998	13538705	+	3708	9484
random279	HD2_scaffold_2	19483259	19487872	+	4614	11378
random280	HD2_scaffold_6	2477385	2481094	+	3710	5929
random281	HD2_scaffold_1	23593555	23598572	+	5018	12614
random282	HD2_scaffold_1	26322782	26326445	+	3664	8876
random283	HD2_scaffold_1	26578455	26582192	+	3738	9334
random284	HD2_scaffold_7	8691023	8696809	+	5787	14468
random285	HD2_scaffold_3	10205924	10211188	+	5265	12680
random286	HD2_scaffold_3	18350035	18354143	+	4109	10097
random287	HD2_scaffold_3	6772585	6776743	+	4159	11162
random288	HD2_scaffold_8	11808967	11813144	+	4178	10468
random289	HD2_scaffold_124	13588	16596	+	3009	41609
random290	HD2_scaffold_2	7626666	7631496	+	4831	11909
random291	HD2_scaffold_8	11783242	11787405	+	4164	8266
random292	HD2_scaffold_10	11501244	11510916	+	9673	16240
random293	HD2_scaffold_4	8983407	8987846	+	4440	11306
random294	HD2_scaffold_5	8659200	8667152	+	7953	18004
random295	HD2_scaffold_10	1850243	1852293	+	2051	5711
random296	HD2_scaffold_3	10286666	10290879	+	4214	10324
random297	HD2_scaffold_1	22112784	22118540	+	5757	15141
random298	HD2_scaffold_7	11784644	11788137	+	3494	10058
random299	HD2_scaffold_3	4705872	4723763	+	17892	44146
random300	HD2_scaffold_1	15656650	15671420	+	14771	34386
random301	HD2_scaffold_3	1700974	1705092	+	4119	9973
random302	HD2_scaffold_4	13928940	13932941	+	4002	9650
random303	HD2_scaffold_2	5520218	5524288	+	4071	9706
random304	HD2_scaffold_1	2476039	2489751	+	13713	28067
random305	HD2_scaffold_353	1118	5620	+	4503	9926
random306	HD2_scaffold_1	2542179	2550244	+	8066	18564
random307	HD2_scaffold_2	14766036	14779972	+	13937	32762
random308	HD2_scaffold_3	5966625	5977085	+	10461	24892
random309	HD2_scaffold_1	15720003	15721539	+	1537	4090
random310	HD2_scaffold_1	18993484	19000347	+	6864	16051
random311	HD2_scaffold_2	19336576	19343931	+	7356	17669
random312	HD2_scaffold_7	4710041	4720366	+	10326	24819
random313	HD2_scaffold_3	17994822	18002551	+	7730	18119
random314	HD2_scaffold_3	4920364	4926282	+	5919	13423
random315	HD2_scaffold_5	12905570	12910265	+	4696	11447
random316	HD2_scaffold_9	7980990	7985111	+	4122	10411
random317	HD2_scaffold_6	10425417	10428778	+	3362	8303
random318	HD2_scaffold_9	250620	255076	+	4457	10827
random319	HD2_scaffold_2	11177955	11182128	+	4174	10436
random320	HD2_scaffold_11	6148634	6155140	+	6507	17086
random321	HD2_scaffold_3	16142358	16151547	+	9190	22094
random322	HD2_scaffold_2	8205347	8213050	+	7704	19357
random323	HD2_scaffold_5	10208491	10214392	+	5902	13425
random324	HD2_scaffold_254	10468	14823	+	4356	8333
random325	HD2_scaffold_10	1197177	1201873	+	4697	10167
random326	HD2_scaffold_10	5848780	5852614	+	3835	9704
random327	HD2_scaffold_1	15669817	15674803	+	4987	11736
random328	HD2_scaffold_10	11650062	11655257	+	5196	6951
random329	HD2_scaffold_10	809204	817119	+	7916	18974
random330	HD2_scaffold_17	40454	43610	+	3157	6973
random331	HD2_scaffold_5	726939	731306	+	4368	11087
random332	HD2_scaffold_7	8683636	8688984	+	5349	13994
random333	HD2_scaffold_7	11456446	11466459	+	10014	24031
random334	HD2_scaffold_1	7287686	7291393	+	3708	8805
random335	HD2_scaffold_1	3349543	3354156	+	4614	12224
random336	HD2_scaffold_3	19101173	19104882	+	3710	8308
random337	HD2_scaffold_8	12340428	12345445	+	5018	12671
random338	HD2_scaffold_6	3435548	3439211	+	3664	8907
random339	HD2_scaffold_12	255323	259060	+	3738	9088
random340	HD2_scaffold_1	19934344	19940130	+	5787	13167
random341	HD2_scaffold_8	5646289	5651553	+	5265	12677
random342	HD2_scaffold_2	6934254	6938362	+	4109	10027
random343	HD2_scaffold_9	5029906	5034064	+	4159	10468
random344	HD2_scaffold_4	12277747	12281924	+	4178	10197
random345	HD2_scaffold_7	11491038	11494046	+	3009	6104
random346	HD2_scaffold_3	3087426	3092256	+	4831	12282
random347	HD2_scaffold_6	4994307	4998470	+	4164	10213
random348	HD2_scaffold_5	11116535	11126207	+	9673	23869
random349	HD2_scaffold_9	167975	172414	+	4440	10330
random350	HD2_scaffold_1	3031238	3039190	+	7953	18171
random351	HD2_scaffold_4	196367	198417	+	2051	4897
random352	HD2_scaffold_2	8592730	8596943	+	4214	9957
random353	HD2_scaffold_2	5946335	5952091	+	5757	13233
random354	HD2_scaffold_4	12263164	12266657	+	3494	8588
random355	HD2_scaffold_12	4616865	4634756	+	17892	39266
random356	HD2_scaffold_4	6675297	6690067	+	14771	36764
random357	HD2_scaffold_10	10553576	10557694	+	4119	10285
random358	HD2_scaffold_9	3007347	3011348	+	4002	9857
random359	HD2_scaffold_7	4060451	4064521	+	4071	9528
random360	HD2_scaffold_2	14330469	14344181	+	13713	33685
random361	HD2_scaffold_8	11240419	11244921	+	4503	11089
random362	HD2_scaffold_2	15853811	15861876	+	8066	18470
random363	HD2_scaffold_2	5805052	5818988	+	13937	33668
random364	HD2_scaffold_4	10609804	10620264	+	10461	25470
random365	HD2_scaffold_2	5933597	5935133	+	1537	4101
random366	HD2_scaffold_1	7555697	7562560	+	6864	16497
random367	HD2_scaffold_1	9858114	9865469	+	7356	18100
random368	HD2_scaffold_3	20472562	20482887	+	10326	23643
random369	HD2_scaffold_2	21439828	21447557	+	7730	19083
random370	HD2_scaffold_12	2135988	2141906	+	5919	13963
random371	HD2_scaffold_2	10974145	10978840	+	4696	11192
random372	HD2_scaffold_9	10714454	10718575	+	4122	9631
random373	HD2_scaffold_1	448801	452162	+	3362	3843
random374	HD2_scaffold_10	160045	164501	+	4457	47865
random375	HD2_scaffold_3	8694985	8699158	+	4174	10147
random376	HD2_scaffold_6	7719508	7726014	+	6507	15863
random377	HD2_scaffold_9	10823253	10832442	+	9190	17658
random378	HD2_scaffold_6	9044307	9052010	+	7704	18383
random379	HD2_scaffold_8	3912420	3918321	+	5902	14450
random380	HD2_scaffold_5	1972321	1976676	+	4356	10717
random381	HD2_scaffold_10	2571603	2576299	+	4697	11576
random382	HD2_scaffold_8	7513227	7517061	+	3835	8188
random383	HD2_scaffold_3	13644329	13649315	+	4987	12021
random384	HD2_scaffold_5	9788012	9793207	+	5196	13501
random385	HD2_scaffold_6	2955529	2963444	+	7916	18709
random386	HD2_scaffold_6	13131372	13134528	+	3157	8190
random387	HD2_scaffold_7	13685846	13690213	+	4368	10736
random388	HD2_scaffold_4	133887	139235	+	5349	13172
random389	HD2_scaffold_6	10203027	10213040	+	10014	24897
random390	HD2_scaffold_12	4211282	4214989	+	3708	8974
random391	HD2_scaffold_5	14879651	14884264	+	4614	10639
random392	HD2_scaffold_5	12217866	12221575	+	3710	9171
random393	HD2_scaffold_3	4555831	4560848	+	5018	11658
random394	HD2_scaffold_2	11199507	11203170	+	3664	9654
random395	HD2_scaffold_1	20718366	20722103	+	3738	8184
random396	HD2_scaffold_10	9181479	9187265	+	5787	14457
random397	HD2_scaffold_8	4372337	4377601	+	5265	13307
random398	HD2_scaffold_5	3022218	3026326	+	4109	10155
random399	HD2_scaffold_4	2070090	2074248	+	4159	10226
random400	HD2_scaffold_4	9109313	9113490	+	4178	10430
random401	HD2_scaffold_4	15567674	15570682	+	3009	8053
random402	HD2_scaffold_415	1189	6019	+	4831	12264
random403	HD2_scaffold_10	7707920	7712083	+	4164	9599
random404	HD2_scaffold_3	11220899	11230571	+	9673	22480
random405	HD2_scaffold_2	4454146	4458585	+	4440	10742
random406	HD2_scaffold_1	8789150	8797102	+	7953	20484
random407	HD2_scaffold_2	22214949	22216999	+	2051	5474
random408	HD2_scaffold_7	4858649	4862862	+	4214	11024
random409	HD2_scaffold_12	5048256	5054012	+	5757	10643
random410	HD2_scaffold_6	2536893	2540386	+	3494	8095
random411	HD2_scaffold_1	10504389	10522280	+	17892	42658
random412	HD2_scaffold_4	6618993	6633763	+	14771	33764
random413	HD2_scaffold_3	10185880	10189998	+	4119	10985
random414	HD2_scaffold_11	6023967	6027968	+	4002	8760
random415	HD2_scaffold_2	19378575	19382645	+	4071	10610
random416	HD2_scaffold_1	9707908	9721620	+	13713	34468
random417	HD2_scaffold_2	17978808	17983310	+	4503	11824
random418	HD2_scaffold_6	9483789	9491854	+	8066	19676
random419	HD2_scaffold_9	10214575	10228511	+	13937	31283
random420	HD2_scaffold_7	2422565	2433025	+	10461	24237
random421	HD2_scaffold_2	4428239	4429775	+	1537	3767
random422	HD2_scaffold_10	9600842	9607705	+	6864	15900
random423	HD2_scaffold_1	28039757	28047112	+	7356	17695
random424	HD2_scaffold_12	562180	572505	+	10326	32610
random425	HD2_scaffold_19	81637	89366	+	7730	45882
random426	HD2_scaffold_4	9050927	9056845	+	5919	14738
random427	HD2_scaffold_1	12644629	12649324	+	4696	16500
random428	HD2_scaffold_7	13246596	13250717	+	4122	10298
random429	HD2_scaffold_5	8484859	8488220	+	3362	8380
random430	HD2_scaffold_2	11475697	11480153	+	4457	11344
random431	HD2_scaffold_2	396586	400759	+	4174	11005
random432	HD2_scaffold_10	11240198	11246704	+	6507	13457
random433	HD2_scaffold_3	3147828	3157017	+	9190	22984
random434	HD2_scaffold_1	23398859	23406562	+	7704	19291
random435	HD2_scaffold_6	14223614	14229515	+	5902	13370
random436	HD2_scaffold_3	16484255	16488610	+	4356	11612
random437	HD2_scaffold_10	8444417	8449113	+	4697	11694
random438	HD2_scaffold_6	1363362	1367196	+	3835	9970
random439	HD2_scaffold_7	9232142	9237128	+	4987	12233
random440	HD2_scaffold_8	1195734	1200929	+	5196	12856
random441	HD2_scaffold_3	10649593	10657508	+	7916	19433
random442	HD2_scaffold_4	4481771	4484927	+	3157	8143
random443	HD2_scaffold_9	8392322	8396689	+	4368	10914
random444	HD2_scaffold_3	13544798	13550146	+	5349	12711
random445	HD2_scaffold_12	1100558	1110571	+	10014	24627
random446	HD2_scaffold_9	11903265	11906972	+	3708	9248
random447	HD2_scaffold_11	3522359	3526972	+	4614	10824
random448	HD2_scaffold_1	13926525	13930234	+	3710	9492
random449	HD2_scaffold_2	1617187	1622204	+	5018	12098
random450	HD2_scaffold_1	21430148	21433811	+	3664	9427
random451	HD2_scaffold_12	2426519	2430256	+	3738	8958
random452	HD2_scaffold_12	1304260	1310046	+	5787	13158
random453	HD2_scaffold_3	61823	67087	+	5265	11809
random454	HD2_scaffold_1	24028820	24032928	+	4109	10894
random455	HD2_scaffold_3	7775471	7779629	+	4159	10720
random456	HD2_scaffold_10	4104597	4108774	+	4178	10643
random457	HD2_scaffold_10	481584	484592	+	3009	7664
random458	HD2_scaffold_2	9389312	9394142	+	4831	11014
random459	HD2_scaffold_2	20960718	20964881	+	4164	10518
