# Program:featureCounts v2.0.1; Command:"featureCounts" "../U16_4.bam" "-a" "Hd2_EVErep.randoms.gff" "-o" "U16_4.Hd2_EVErep.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../U16_4.bam
random46	HD2_scaffold_2	11222532	11226366	+	3835	733
random47	HD2_scaffold_2	11427185	11432171	+	4987	985
random48	HD2_scaffold_3	13605758	13610953	+	5196	1046
random49	HD2_scaffold_25	40194	48109	+	7916	2088
random50	HD2_scaffold_2	4509436	4512592	+	3157	682
random51	HD2_scaffold_3	3942190	3946557	+	4368	917
random52	HD2_scaffold_3	20826448	20831796	+	5349	1300
random53	HD2_scaffold_11	1836705	1846718	+	10014	2072
random54	HD2_scaffold_9	12099655	12103362	+	3708	887
random55	HD2_scaffold_6	5120063	5124676	+	4614	1490
random56	HD2_scaffold_9	6850485	6854194	+	3710	665
random57	HD2_scaffold_9	5825005	5830022	+	5018	1015
random58	HD2_scaffold_6	1431967	1435630	+	3664	540
random59	HD2_scaffold_1	6466982	6470719	+	3738	823
random60	HD2_scaffold_4	12177446	12183232	+	5787	1133
random61	HD2_scaffold_225	9155	14419	+	5265	1078
random62	HD2_scaffold_4	3886203	3890311	+	4109	873
random63	HD2_scaffold_12	6580454	6584612	+	4159	836
random64	HD2_scaffold_10	4197396	4201573	+	4178	778
random65	HD2_scaffold_4	2269870	2272878	+	3009	713
random66	HD2_scaffold_2	2261622	2266452	+	4831	793
random67	HD2_scaffold_1	19909336	19913499	+	4164	875
random68	HD2_scaffold_11	6746702	6756374	+	9673	1511
random69	HD2_scaffold_9	6399764	6404203	+	4440	905
random70	HD2_scaffold_3	6737899	6745851	+	7953	1712
random71	HD2_scaffold_7	12877637	12879687	+	2051	476
random72	HD2_scaffold_14	9156	13369	+	4214	1142
random73	HD2_scaffold_1	22738670	22744426	+	5757	1129
random74	HD2_scaffold_10	4693434	4696927	+	3494	681
random75	HD2_scaffold_1	11241149	11259040	+	17892	3516
random76	HD2_scaffold_10	6480685	6495455	+	14771	2911
random77	HD2_scaffold_7	6488358	6492476	+	4119	870
random78	HD2_scaffold_10	4419677	4423678	+	4002	890
random79	HD2_scaffold_2	8738574	8742644	+	4071	973
random80	HD2_scaffold_3	2557514	2571226	+	13713	2980
random81	HD2_scaffold_10	4994083	4998585	+	4503	940
random82	HD2_scaffold_8	11095442	11103507	+	8066	1407
random83	HD2_scaffold_8	2698700	2712636	+	13937	3089
random84	HD2_scaffold_8	2824068	2834528	+	10461	2355
random85	HD2_scaffold_1	16025172	16026708	+	1537	365
random86	HD2_scaffold_1	2775278	2782141	+	6864	1673
random87	HD2_scaffold_5	7861430	7868785	+	7356	1785
random88	HD2_scaffold_2	365111	375436	+	10326	1705
random89	HD2_scaffold_6	5866511	5874240	+	7730	1556
random90	HD2_scaffold_8	4647198	4653116	+	5919	1235
random91	HD2_scaffold_5	6272340	6277035	+	4696	909
random92	HD2_scaffold_5	14768012	14772133	+	4122	870
random93	HD2_scaffold_5	5629407	5632768	+	3362	766
random94	HD2_scaffold_3	20440229	20444685	+	4457	581
random95	HD2_scaffold_1	24669618	24673791	+	4174	866
random96	HD2_scaffold_8	8227282	8233788	+	6507	1166
random97	HD2_scaffold_4	6552262	6561451	+	9190	2063
random98	HD2_scaffold_5	1456217	1463920	+	7704	1630
random99	HD2_scaffold_3	1796486	1802387	+	5902	1067
random100	HD2_scaffold_3	9077751	9082106	+	4356	788
random101	HD2_scaffold_3	18164329	18169025	+	4697	980
random102	HD2_scaffold_3	828877	832711	+	3835	805
random103	HD2_scaffold_5	6836561	6841547	+	4987	1077
random104	HD2_scaffold_12	4242576	4247771	+	5196	638
random105	HD2_scaffold_5	565325	573240	+	7916	1751
random106	HD2_scaffold_8	5905922	5909078	+	3157	643
random107	HD2_scaffold_5	6240729	6245096	+	4368	874
random108	HD2_scaffold_1	25777579	25782927	+	5349	1144
random109	HD2_scaffold_4	11459478	11469491	+	10014	2184
random110	HD2_scaffold_3	1111690	1115397	+	3708	855
random111	HD2_scaffold_7	12197379	12201992	+	4614	1085
random112	HD2_scaffold_99	14671	18380	+	3710	38
random113	HD2_scaffold_1	20592011	20597028	+	5018	968
random114	HD2_scaffold_2	17509791	17513454	+	3664	793
random115	HD2_scaffold_1	2484972	2488709	+	3738	793
random116	HD2_scaffold_3	3970044	3975830	+	5787	1128
random117	HD2_scaffold_3	13042165	13047429	+	5265	1026
random118	HD2_scaffold_2	10584965	10589073	+	4109	802
random119	HD2_scaffold_8	1581861	1586019	+	4159	937
random120	HD2_scaffold_300	9289	13466	+	4178	842
random121	HD2_scaffold_2	5295613	5298621	+	3009	661
random122	HD2_scaffold_1	13672815	13677645	+	4831	916
random123	HD2_scaffold_6	7534529	7538692	+	4164	726
random124	HD2_scaffold_5	9233971	9243643	+	9673	2113
random125	HD2_scaffold_1	27840422	27844861	+	4440	994
random126	HD2_scaffold_1	20873213	20881165	+	7953	1618
random127	HD2_scaffold_5	4237901	4239951	+	2051	465
random128	HD2_scaffold_4	2536801	2541014	+	4214	938
random129	HD2_scaffold_10	5789024	5794780	+	5757	1179
random130	HD2_scaffold_6	8461575	8465068	+	3494	740
random131	HD2_scaffold_8	1904121	1922012	+	17892	4012
random132	HD2_scaffold_4	2371256	2386026	+	14771	2854
random133	HD2_scaffold_1	22288497	22292615	+	4119	916
random134	HD2_scaffold_6	1545141	1549142	+	4002	849
random135	HD2_scaffold_10	844080	848150	+	4071	749
random136	HD2_scaffold_6	12306913	12320625	+	13713	2705
random137	HD2_scaffold_3	20088551	20093053	+	4503	804
random138	HD2_scaffold_5	5575555	5583620	+	8066	1727
random139	HD2_scaffold_10	9515212	9529148	+	13937	2576
random140	HD2_scaffold_1	27707615	27718075	+	10461	2250
random141	HD2_scaffold_9	11544099	11545635	+	1537	51
random142	HD2_scaffold_1	13798867	13805730	+	6864	1383
random143	HD2_scaffold_1	24977989	24985344	+	7356	1539
random144	HD2_scaffold_8	10407486	10417811	+	10326	1853
random145	HD2_scaffold_3	17410609	17418338	+	7730	1631
random146	HD2_scaffold_7	7002872	7008790	+	5919	1390
random147	HD2_scaffold_8	8476623	8481318	+	4696	808
random148	HD2_scaffold_2	10481735	10485856	+	4122	978
random149	HD2_scaffold_6	6587664	6591025	+	3362	772
random150	HD2_scaffold_608	266	4722	+	4457	896
random151	HD2_scaffold_4	10635608	10639781	+	4174	876
random152	HD2_scaffold_10	10836010	10842516	+	6507	1256
random153	HD2_scaffold_10	11009069	11018258	+	9190	1954
random154	HD2_scaffold_1	24492281	24499984	+	7704	1522
random155	HD2_scaffold_4	5110938	5116839	+	5902	1164
random156	HD2_scaffold_5	14847659	14852014	+	4356	688
random157	HD2_scaffold_9	7356604	7361300	+	4697	812
random158	HD2_scaffold_140	21194	25028	+	3835	991
random159	HD2_scaffold_1	23645847	23650833	+	4987	1120
random160	HD2_scaffold_2	21486617	21491812	+	5196	1200
random161	HD2_scaffold_3	9582001	9589916	+	7916	1508
random162	HD2_scaffold_9	5905881	5909037	+	3157	674
random163	HD2_scaffold_9	7703686	7708053	+	4368	897
random164	HD2_scaffold_4	9677283	9682631	+	5349	1135
random165	HD2_scaffold_2	19598243	19608256	+	10014	2132
random166	HD2_scaffold_9	8824307	8828014	+	3708	849
random167	HD2_scaffold_9	3989794	3994407	+	4614	952
random168	HD2_scaffold_1	10186542	10190251	+	3710	723
random169	HD2_scaffold_9	9630901	9635918	+	5018	763
random170	HD2_scaffold_11	3395050	3398713	+	3664	686
random171	HD2_scaffold_3	20580976	20584713	+	3738	727
random172	HD2_scaffold_11	1045864	1051650	+	5787	847
random173	HD2_scaffold_10	765491	770755	+	5265	1179
random174	HD2_scaffold_9	8723386	8727494	+	4109	805
random175	HD2_scaffold_3	15083012	15087170	+	4159	793
random176	HD2_scaffold_2	190012	194189	+	4178	644
random177	HD2_scaffold_3	18055895	18058903	+	3009	527
random178	HD2_scaffold_3	16710894	16715724	+	4831	1062
random179	HD2_scaffold_3	16315497	16319660	+	4164	863
random180	HD2_scaffold_5	7512232	7521904	+	9673	2074
random181	HD2_scaffold_4	13358016	13362455	+	4440	755
random182	HD2_scaffold_1	27646342	27654294	+	7953	1508
random183	HD2_scaffold_2	4084860	4086910	+	2051	438
random184	HD2_scaffold_5	8021182	8025395	+	4214	949
random185	HD2_scaffold_2	15357924	15363680	+	5757	1000
random186	HD2_scaffold_5	462431	465924	+	3494	674
random187	HD2_scaffold_8	4142508	4160399	+	17892	3786
random188	HD2_scaffold_1	18715058	18729828	+	14771	2703
random189	HD2_scaffold_3	9758948	9763066	+	4119	1062
random190	HD2_scaffold_10	6115477	6119478	+	4002	863
random191	HD2_scaffold_353	2116	6186	+	4071	654
random192	HD2_scaffold_3	17222637	17236349	+	13713	2768
random193	HD2_scaffold_1	12200836	12205338	+	4503	840
random194	HD2_scaffold_2	20064988	20073053	+	8066	1749
random195	HD2_scaffold_6	10386451	10400387	+	13937	2805
random196	HD2_scaffold_6	4124006	4134466	+	10461	2129
random197	HD2_scaffold_5	11765183	11766719	+	1537	331
random198	HD2_scaffold_9	9692269	9699132	+	6864	1389
random199	HD2_scaffold_3	19079673	19087028	+	7356	1236
random200	HD2_scaffold_11	4918255	4928580	+	10326	1427
random201	HD2_scaffold_1	7309301	7317030	+	7730	1537
random202	HD2_scaffold_2	11088988	11094906	+	5919	1462
random203	HD2_scaffold_5	14346514	14351209	+	4696	561
random204	HD2_scaffold_3	9581945	9586066	+	4122	867
random205	HD2_scaffold_3	3529273	3532634	+	3362	790
random206	HD2_scaffold_10	1430076	1434532	+	4457	863
random207	HD2_scaffold_5	10171812	10175985	+	4174	898
random208	HD2_scaffold_5	5763166	5769672	+	6507	1292
random209	HD2_scaffold_7	13998766	14007955	+	9190	1786
random210	HD2_scaffold_6	1316128	1323831	+	7704	626
random211	HD2_scaffold_2	3122405	3128306	+	5902	1060
random212	HD2_scaffold_6	2914914	2919269	+	4356	937
random213	HD2_scaffold_8	973579	978275	+	4697	973
random214	HD2_scaffold_1	23588770	23592604	+	3835	821
random215	HD2_scaffold_5	10928082	10933068	+	4987	1018
random216	HD2_scaffold_3	12994858	13000053	+	5196	1099
random217	HD2_scaffold_8	5915832	5923747	+	7916	1658
random218	HD2_scaffold_4	4513096	4516252	+	3157	630
random219	HD2_scaffold_2	9883535	9887902	+	4368	846
random220	HD2_scaffold_9	5270415	5275763	+	5349	1176
random221	HD2_scaffold_1	8843658	8853671	+	10014	2114
random222	HD2_scaffold_10	5557193	5560900	+	3708	793
random223	HD2_scaffold_3	18957423	18962036	+	4614	1050
random224	HD2_scaffold_18	41736	45445	+	3710	879
random225	HD2_scaffold_9	1261281	1266298	+	5018	1080
random226	HD2_scaffold_2	4126325	4129988	+	3664	666
random227	HD2_scaffold_7	8230154	8233891	+	3738	814
random228	HD2_scaffold_9	10489581	10495367	+	5787	1238
random229	HD2_scaffold_4	5060151	5065415	+	5265	1187
random230	HD2_scaffold_4	4093657	4097765	+	4109	959
random231	HD2_scaffold_3	9492829	9496987	+	4159	850
random232	HD2_scaffold_8	5626377	5630554	+	4178	906
random233	HD2_scaffold_2	5121194	5124202	+	3009	666
random234	HD2_scaffold_2	133745	138575	+	4831	1063
random235	HD2_scaffold_9	5695549	5699712	+	4164	962
random236	HD2_scaffold_3	4660500	4670172	+	9673	2157
random237	HD2_scaffold_8	11158098	11162537	+	4440	693
random238	HD2_scaffold_4	10037132	10045084	+	7953	1637
random239	HD2_scaffold_7	12933315	12935365	+	2051	441
random240	HD2_scaffold_1	11292320	11296533	+	4214	835
random241	HD2_scaffold_3	9094902	9100658	+	5757	1060
random242	HD2_scaffold_3	7814143	7817636	+	3494	793
random243	HD2_scaffold_3	1058110	1076001	+	17892	3831
random244	HD2_scaffold_6	2774109	2788879	+	14771	2734
random245	HD2_scaffold_1	17023099	17027217	+	4119	787
random246	HD2_scaffold_8	6182099	6186100	+	4002	837
random247	HD2_scaffold_7	3777905	3781975	+	4071	896
random248	HD2_scaffold_9	2357683	2371395	+	13713	3015
random249	HD2_scaffold_8	114343	118845	+	4503	745
random250	HD2_scaffold_1	11161734	11169799	+	8066	1638
random251	HD2_scaffold_3	1608267	1622203	+	13937	1915
random252	HD2_scaffold_1	21521462	21531922	+	10461	1961
random253	HD2_scaffold_12	961998	963534	+	1537	309
random254	HD2_scaffold_9	318637	325500	+	6864	1174
random255	HD2_scaffold_5	4091029	4098384	+	7356	1522
random256	HD2_scaffold_2	5492190	5502515	+	10326	2099
random257	HD2_scaffold_4	15676614	15684343	+	7730	1708
random258	HD2_scaffold_8	9289324	9295242	+	5919	1082
random259	HD2_scaffold_2	14506128	14510823	+	4696	867
random260	HD2_scaffold_2	18633030	18637151	+	4122	952
random261	HD2_scaffold_7	3986733	3990094	+	3362	742
random262	HD2_scaffold_341	2629	7085	+	4457	321
random263	HD2_scaffold_8	9551659	9555832	+	4174	1000
random264	HD2_scaffold_4	12055279	12061785	+	6507	1270
random265	HD2_scaffold_10	7344306	7353495	+	9190	1888
random266	HD2_scaffold_2	15320929	15328632	+	7704	1367
random267	HD2_scaffold_8	3531392	3537293	+	5902	1294
random268	HD2_scaffold_5	10707332	10711687	+	4356	912
random269	HD2_scaffold_11	678417	683113	+	4697	1013
random270	HD2_scaffold_3	12388769	12392603	+	3835	849
random271	HD2_scaffold_3	6416507	6421493	+	4987	1101
random272	HD2_scaffold_6	8493097	8498292	+	5196	1222
random273	HD2_scaffold_5	11419440	11427355	+	7916	1676
random274	HD2_scaffold_5	7337744	7340900	+	3157	742
random275	HD2_scaffold_6	6439431	6443798	+	4368	895
random276	HD2_scaffold_7	3180991	3186339	+	5349	1202
random277	HD2_scaffold_3	1378253	1388266	+	10014	2168
random278	HD2_scaffold_1	13534998	13538705	+	3708	785
random279	HD2_scaffold_2	19483259	19487872	+	4614	891
random280	HD2_scaffold_6	2477385	2481094	+	3710	424
random281	HD2_scaffold_1	23593555	23598572	+	5018	1143
random282	HD2_scaffold_1	26322782	26326445	+	3664	717
random283	HD2_scaffold_1	26578455	26582192	+	3738	774
random284	HD2_scaffold_7	8691023	8696809	+	5787	1217
random285	HD2_scaffold_3	10205924	10211188	+	5265	965
random286	HD2_scaffold_3	18350035	18354143	+	4109	982
random287	HD2_scaffold_3	6772585	6776743	+	4159	1044
random288	HD2_scaffold_8	11808967	11813144	+	4178	780
random289	HD2_scaffold_124	13588	16596	+	3009	3887
random290	HD2_scaffold_2	7626666	7631496	+	4831	1010
random291	HD2_scaffold_8	11783242	11787405	+	4164	687
random292	HD2_scaffold_10	11501244	11510916	+	9673	1452
random293	HD2_scaffold_4	8983407	8987846	+	4440	921
random294	HD2_scaffold_5	8659200	8667152	+	7953	1487
random295	HD2_scaffold_10	1850243	1852293	+	2051	387
random296	HD2_scaffold_3	10286666	10290879	+	4214	760
random297	HD2_scaffold_1	22112784	22118540	+	5757	1315
random298	HD2_scaffold_7	11784644	11788137	+	3494	753
random299	HD2_scaffold_3	4705872	4723763	+	17892	3789
random300	HD2_scaffold_1	15656650	15671420	+	14771	2814
random301	HD2_scaffold_3	1700974	1705092	+	4119	872
random302	HD2_scaffold_4	13928940	13932941	+	4002	788
random303	HD2_scaffold_2	5520218	5524288	+	4071	823
random304	HD2_scaffold_1	2476039	2489751	+	13713	2592
random305	HD2_scaffold_353	1118	5620	+	4503	758
random306	HD2_scaffold_1	2542179	2550244	+	8066	1528
random307	HD2_scaffold_2	14766036	14779972	+	13937	2719
random308	HD2_scaffold_3	5966625	5977085	+	10461	2052
random309	HD2_scaffold_1	15720003	15721539	+	1537	341
random310	HD2_scaffold_1	18993484	19000347	+	6864	1343
random311	HD2_scaffold_2	19336576	19343931	+	7356	1579
random312	HD2_scaffold_7	4710041	4720366	+	10326	2083
random313	HD2_scaffold_3	17994822	18002551	+	7730	1488
random314	HD2_scaffold_3	4920364	4926282	+	5919	1038
random315	HD2_scaffold_5	12905570	12910265	+	4696	942
random316	HD2_scaffold_9	7980990	7985111	+	4122	855
random317	HD2_scaffold_6	10425417	10428778	+	3362	741
random318	HD2_scaffold_9	250620	255076	+	4457	818
random319	HD2_scaffold_2	11177955	11182128	+	4174	1003
random320	HD2_scaffold_11	6148634	6155140	+	6507	1435
random321	HD2_scaffold_3	16142358	16151547	+	9190	2049
random322	HD2_scaffold_2	8205347	8213050	+	7704	1693
random323	HD2_scaffold_5	10208491	10214392	+	5902	1223
random324	HD2_scaffold_254	10468	14823	+	4356	621
random325	HD2_scaffold_10	1197177	1201873	+	4697	804
random326	HD2_scaffold_10	5848780	5852614	+	3835	703
random327	HD2_scaffold_1	15669817	15674803	+	4987	946
random328	HD2_scaffold_10	11650062	11655257	+	5196	564
random329	HD2_scaffold_10	809204	817119	+	7916	1557
random330	HD2_scaffold_17	40454	43610	+	3157	457
random331	HD2_scaffold_5	726939	731306	+	4368	995
random332	HD2_scaffold_7	8683636	8688984	+	5349	1086
random333	HD2_scaffold_7	11456446	11466459	+	10014	2221
random334	HD2_scaffold_1	7287686	7291393	+	3708	817
random335	HD2_scaffold_1	3349543	3354156	+	4614	923
random336	HD2_scaffold_3	19101173	19104882	+	3710	778
random337	HD2_scaffold_8	12340428	12345445	+	5018	1106
random338	HD2_scaffold_6	3435548	3439211	+	3664	751
random339	HD2_scaffold_12	255323	259060	+	3738	808
random340	HD2_scaffold_1	19934344	19940130	+	5787	1273
random341	HD2_scaffold_8	5646289	5651553	+	5265	1050
random342	HD2_scaffold_2	6934254	6938362	+	4109	890
random343	HD2_scaffold_9	5029906	5034064	+	4159	966
random344	HD2_scaffold_4	12277747	12281924	+	4178	843
random345	HD2_scaffold_7	11491038	11494046	+	3009	555
random346	HD2_scaffold_3	3087426	3092256	+	4831	1023
random347	HD2_scaffold_6	4994307	4998470	+	4164	954
random348	HD2_scaffold_5	11116535	11126207	+	9673	1771
random349	HD2_scaffold_9	167975	172414	+	4440	823
random350	HD2_scaffold_1	3031238	3039190	+	7953	1573
random351	HD2_scaffold_4	196367	198417	+	2051	376
random352	HD2_scaffold_2	8592730	8596943	+	4214	821
random353	HD2_scaffold_2	5946335	5952091	+	5757	1193
random354	HD2_scaffold_4	12263164	12266657	+	3494	634
random355	HD2_scaffold_12	4616865	4634756	+	17892	3116
random356	HD2_scaffold_4	6675297	6690067	+	14771	3034
random357	HD2_scaffold_10	10553576	10557694	+	4119	892
random358	HD2_scaffold_9	3007347	3011348	+	4002	946
random359	HD2_scaffold_7	4060451	4064521	+	4071	806
random360	HD2_scaffold_2	14330469	14344181	+	13713	2910
random361	HD2_scaffold_8	11240419	11244921	+	4503	952
random362	HD2_scaffold_2	15853811	15861876	+	8066	1583
random363	HD2_scaffold_2	5805052	5818988	+	13937	3054
random364	HD2_scaffold_4	10609804	10620264	+	10461	2067
random365	HD2_scaffold_2	5933597	5935133	+	1537	360
random366	HD2_scaffold_1	7555697	7562560	+	6864	1582
random367	HD2_scaffold_1	9858114	9865469	+	7356	1539
random368	HD2_scaffold_3	20472562	20482887	+	10326	1725
random369	HD2_scaffold_2	21439828	21447557	+	7730	1466
random370	HD2_scaffold_12	2135988	2141906	+	5919	1069
random371	HD2_scaffold_2	10974145	10978840	+	4696	1104
random372	HD2_scaffold_9	10714454	10718575	+	4122	565
random373	HD2_scaffold_1	448801	452162	+	3362	286
random374	HD2_scaffold_10	160045	164501	+	4457	3850
random375	HD2_scaffold_3	8694985	8699158	+	4174	857
random376	HD2_scaffold_6	7719508	7726014	+	6507	1384
random377	HD2_scaffold_9	10823253	10832442	+	9190	1138
random378	HD2_scaffold_6	9044307	9052010	+	7704	1681
random379	HD2_scaffold_8	3912420	3918321	+	5902	1260
random380	HD2_scaffold_5	1972321	1976676	+	4356	949
random381	HD2_scaffold_10	2571603	2576299	+	4697	1034
random382	HD2_scaffold_8	7513227	7517061	+	3835	626
random383	HD2_scaffold_3	13644329	13649315	+	4987	937
random384	HD2_scaffold_5	9788012	9793207	+	5196	1271
random385	HD2_scaffold_6	2955529	2963444	+	7916	1362
random386	HD2_scaffold_6	13131372	13134528	+	3157	762
random387	HD2_scaffold_7	13685846	13690213	+	4368	832
random388	HD2_scaffold_4	133887	139235	+	5349	1028
random389	HD2_scaffold_6	10203027	10213040	+	10014	2149
random390	HD2_scaffold_12	4211282	4214989	+	3708	658
random391	HD2_scaffold_5	14879651	14884264	+	4614	734
random392	HD2_scaffold_5	12217866	12221575	+	3710	821
random393	HD2_scaffold_3	4555831	4560848	+	5018	1062
random394	HD2_scaffold_2	11199507	11203170	+	3664	921
random395	HD2_scaffold_1	20718366	20722103	+	3738	658
random396	HD2_scaffold_10	9181479	9187265	+	5787	1188
random397	HD2_scaffold_8	4372337	4377601	+	5265	1187
random398	HD2_scaffold_5	3022218	3026326	+	4109	765
random399	HD2_scaffold_4	2070090	2074248	+	4159	965
random400	HD2_scaffold_4	9109313	9113490	+	4178	793
random401	HD2_scaffold_4	15567674	15570682	+	3009	640
random402	HD2_scaffold_415	1189	6019	+	4831	491
random403	HD2_scaffold_10	7707920	7712083	+	4164	828
random404	HD2_scaffold_3	11220899	11230571	+	9673	1726
random405	HD2_scaffold_2	4454146	4458585	+	4440	858
random406	HD2_scaffold_1	8789150	8797102	+	7953	1728
random407	HD2_scaffold_2	22214949	22216999	+	2051	449
random408	HD2_scaffold_7	4858649	4862862	+	4214	839
random409	HD2_scaffold_12	5048256	5054012	+	5757	874
random410	HD2_scaffold_6	2536893	2540386	+	3494	673
random411	HD2_scaffold_1	10504389	10522280	+	17892	3622
random412	HD2_scaffold_4	6618993	6633763	+	14771	2939
random413	HD2_scaffold_3	10185880	10189998	+	4119	975
random414	HD2_scaffold_11	6023967	6027968	+	4002	783
random415	HD2_scaffold_2	19378575	19382645	+	4071	924
random416	HD2_scaffold_1	9707908	9721620	+	13713	2890
random417	HD2_scaffold_2	17978808	17983310	+	4503	965
random418	HD2_scaffold_6	9483789	9491854	+	8066	1635
random419	HD2_scaffold_9	10214575	10228511	+	13937	2456
random420	HD2_scaffold_7	2422565	2433025	+	10461	1996
random421	HD2_scaffold_2	4428239	4429775	+	1537	291
random422	HD2_scaffold_10	9600842	9607705	+	6864	1274
random423	HD2_scaffold_1	28039757	28047112	+	7356	1485
random424	HD2_scaffold_12	562180	572505	+	10326	2291
random425	HD2_scaffold_19	81637	89366	+	7730	2827
random426	HD2_scaffold_4	9050927	9056845	+	5919	1220
random427	HD2_scaffold_1	12644629	12649324	+	4696	1194
random428	HD2_scaffold_7	13246596	13250717	+	4122	899
random429	HD2_scaffold_5	8484859	8488220	+	3362	719
random430	HD2_scaffold_2	11475697	11480153	+	4457	1048
random431	HD2_scaffold_2	396586	400759	+	4174	959
random432	HD2_scaffold_10	11240198	11246704	+	6507	845
random433	HD2_scaffold_3	3147828	3157017	+	9190	2118
random434	HD2_scaffold_1	23398859	23406562	+	7704	1437
random435	HD2_scaffold_6	14223614	14229515	+	5902	1158
random436	HD2_scaffold_3	16484255	16488610	+	4356	949
random437	HD2_scaffold_10	8444417	8449113	+	4697	944
random438	HD2_scaffold_6	1363362	1367196	+	3835	802
random439	HD2_scaffold_7	9232142	9237128	+	4987	1014
random440	HD2_scaffold_8	1195734	1200929	+	5196	1120
random441	HD2_scaffold_3	10649593	10657508	+	7916	1504
random442	HD2_scaffold_4	4481771	4484927	+	3157	727
random443	HD2_scaffold_9	8392322	8396689	+	4368	1019
random444	HD2_scaffold_3	13544798	13550146	+	5349	1091
random445	HD2_scaffold_12	1100558	1110571	+	10014	1972
random446	HD2_scaffold_9	11903265	11906972	+	3708	815
random447	HD2_scaffold_11	3522359	3526972	+	4614	1022
random448	HD2_scaffold_1	13926525	13930234	+	3710	783
random449	HD2_scaffold_2	1617187	1622204	+	5018	1022
random450	HD2_scaffold_1	21430148	21433811	+	3664	805
random451	HD2_scaffold_12	2426519	2430256	+	3738	628
random452	HD2_scaffold_12	1304260	1310046	+	5787	1102
random453	HD2_scaffold_3	61823	67087	+	5265	1015
random454	HD2_scaffold_1	24028820	24032928	+	4109	914
random455	HD2_scaffold_3	7775471	7779629	+	4159	943
random456	HD2_scaffold_10	4104597	4108774	+	4178	1133
random457	HD2_scaffold_10	481584	484592	+	3009	500
random458	HD2_scaffold_2	9389312	9394142	+	4831	866
random459	HD2_scaffold_2	20960718	20964881	+	4164	926
random460	HD2_scaffold_2	1085496	1095168	+	9673	801
random461	HD2_scaffold_4	13294549	13298988	+	4440	744
random462	HD2_scaffold_7	1905819	1913771	+	7953	1386
random463	HD2_scaffold_4	9011767	9013817	+	2051	465
random464	HD2_scaffold_5	1056913	1061126	+	4214	1000
random465	HD2_scaffold_2	16102487	16108243	+	5757	1329
random466	HD2_scaffold_10	11843106	11846599	+	3494	431
random467	HD2_scaffold_50	29327	47218	+	17892	12636
