# Program:featureCounts v2.0.1; Command:"featureCounts" "../U16_2.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "U16_2.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../U16_2.bam
random170	HD2_scaffold_1	17377155	17402586	+	25432	8115
random171	HD2_scaffold_3	10029408	10032662	+	3255	1100
random172	HD2_scaffold_6	630195	646006	+	15812	4451
random173	HD2_scaffold_1	28375569	28377485	+	1917	717
random174	HD2_scaffold_3	15521287	15523757	+	2471	860
random175	HD2_scaffold_10	3625057	3651667	+	26611	24051
random176	HD2_scaffold_3	18465263	18479282	+	14020	3865
random177	HD2_scaffold_9	6098149	6099987	+	1839	700
random178	HD2_scaffold_3	12496149	12497237	+	1089	398
random179	HD2_scaffold_7	1647993	1649720	+	1728	592
random180	HD2_scaffold_4	11280909	11282538	+	1630	614
random181	HD2_scaffold_1	23543145	23568576	+	25432	7860
random182	HD2_scaffold_4	1413972	1417226	+	3255	1106
random183	HD2_scaffold_8	12208500	12224311	+	15812	5097
random184	HD2_scaffold_4	12252847	12254763	+	1917	712
random185	HD2_scaffold_2	3417273	3419743	+	2471	973
random186	HD2_scaffold_9	3100417	3127027	+	26611	8662
random187	HD2_scaffold_3	19241108	19255127	+	14020	3903
random188	HD2_scaffold_2	22613208	22615046	+	1839	725
random189	HD2_scaffold_1	6776509	6777597	+	1089	441
random190	HD2_scaffold_10	8885740	8887467	+	1728	644
random191	HD2_scaffold_57	29657	31286	+	1630	884
random192	HD2_scaffold_10	6015073	6040504	+	25432	8220
random193	HD2_scaffold_5	11119911	11123165	+	3255	1122
random194	HD2_scaffold_6	2061910	2077721	+	15812	3469
random195	HD2_scaffold_4	8094328	8096244	+	1917	711
random196	HD2_scaffold_28	52997	55467	+	2471	458
random197	HD2_scaffold_6	1382199	1408809	+	26611	5543
random198	HD2_scaffold_3	17535728	17549747	+	14020	4741
random199	HD2_scaffold_8	7804457	7806295	+	1839	626
random200	HD2_scaffold_3	2595414	2596502	+	1089	411
random201	HD2_scaffold_9	3539485	3541212	+	1728	646
random202	HD2_scaffold_5	2604506	2606135	+	1630	647
random203	HD2_scaffold_11	3417625	3443056	+	25432	9065
random204	HD2_scaffold_1	21029923	21033177	+	3255	1096
random205	HD2_scaffold_1	3055712	3071523	+	15812	4767
random206	HD2_scaffold_1	2985794	2987710	+	1917	660
random207	HD2_scaffold_1	18068883	18071353	+	2471	894
random208	HD2_scaffold_12	6615637	6642247	+	26611	8802
random209	HD2_scaffold_3	11433454	11447473	+	14020	4262
random210	HD2_scaffold_6	1244024	1245862	+	1839	466
random211	HD2_scaffold_12	4411346	4412434	+	1089	380
random212	HD2_scaffold_2	1433228	1434955	+	1728	687
random213	HD2_scaffold_2	7235927	7237556	+	1630	600
random214	HD2_scaffold_6	7423295	7448726	+	25432	8682
random215	HD2_scaffold_249	6602	9856	+	3255	17808
random216	HD2_scaffold_17	6348	22159	+	15812	5816
random217	HD2_scaffold_1	11121493	11123409	+	1917	672
random218	HD2_scaffold_6	5131095	5133565	+	2471	841
random219	HD2_scaffold_3	18210390	18237000	+	26611	8284
random220	HD2_scaffold_166	2379	16398	+	14020	2557
random221	HD2_scaffold_189	520	2358	+	1839	353
random222	HD2_scaffold_6	3363593	3364681	+	1089	460
random223	HD2_scaffold_2	5931211	5932938	+	1728	674
random224	HD2_scaffold_6	13962349	13963978	+	1630	560
random225	HD2_scaffold_9	11084560	11109991	+	25432	6597
random226	HD2_scaffold_10	2035664	2038918	+	3255	852
random227	HD2_scaffold_10	6089920	6105731	+	15812	5082
random228	HD2_scaffold_35	31605	33521	+	1917	1028
random229	HD2_scaffold_4	4669571	4672041	+	2471	978
random230	HD2_scaffold_6	13912813	13939423	+	26611	8193
random231	HD2_scaffold_3	16139259	16153278	+	14020	4537
random232	HD2_scaffold_4	11097357	11099195	+	1839	692
random233	HD2_scaffold_5	4076231	4077319	+	1089	383
random234	HD2_scaffold_6	13699447	13701174	+	1728	570
random235	HD2_scaffold_2	15278362	15279991	+	1630	617
random236	HD2_scaffold_1	19728388	19753819	+	25432	8211
random237	HD2_scaffold_3	6203584	6206838	+	3255	1108
random238	HD2_scaffold_4	812417	828228	+	15812	4960
random239	HD2_scaffold_6	825419	827335	+	1917	583
random240	HD2_scaffold_15	86006	88476	+	2471	513
random241	HD2_scaffold_2	6078722	6105332	+	26611	8800
random242	HD2_scaffold_6	1327025	1341044	+	14020	4261
random243	HD2_scaffold_12	5099275	5101113	+	1839	231
random244	HD2_scaffold_2	18895459	18896547	+	1089	390
random245	HD2_scaffold_11	660154	661881	+	1728	631
random246	HD2_scaffold_4	15471346	15472975	+	1630	571
random247	HD2_scaffold_3	4307745	4333176	+	25432	9383
random248	HD2_scaffold_2	10249117	10252371	+	3255	1137
random249	HD2_scaffold_5	15100652	15116463	+	15812	4192
random250	HD2_scaffold_4	7805619	7807535	+	1917	746
random251	HD2_scaffold_12	516350	518820	+	2471	820
random252	HD2_scaffold_10	884186	910796	+	26611	8233
random253	HD2_scaffold_2	18047408	18061427	+	14020	4724
random254	HD2_scaffold_10	7921269	7923107	+	1839	682
random255	HD2_scaffold_4	9374256	9375344	+	1089	410
random256	HD2_scaffold_5	6702466	6704193	+	1728	746
random257	HD2_scaffold_3	7653277	7654906	+	1630	629
random258	HD2_scaffold_8	11309584	11335015	+	25432	8036
random259	HD2_scaffold_8	8837294	8840548	+	3255	1058
random260	HD2_scaffold_8	3309547	3325358	+	15812	5281
random261	HD2_scaffold_8	6506440	6508356	+	1917	867
random262	HD2_scaffold_9	6961803	6964273	+	2471	908
random263	HD2_scaffold_11	6248719	6275329	+	26611	8333
random264	HD2_scaffold_7	5146718	5160737	+	14020	4545
random265	HD2_scaffold_2	45963	47801	+	1839	676
random266	HD2_scaffold_3	7846688	7847776	+	1089	493
random267	HD2_scaffold_1	7798696	7800423	+	1728	612
random268	HD2_scaffold_3	17736645	17738274	+	1630	650
random269	HD2_scaffold_11	4633836	4659267	+	25432	7897
random270	HD2_scaffold_48	17384	20638	+	3255	1404
random271	HD2_scaffold_4	1707750	1723561	+	15812	5155
random272	HD2_scaffold_7	10749185	10751101	+	1917	652
random273	HD2_scaffold_2	330451	332921	+	2471	885
random274	HD2_scaffold_8	1318393	1345003	+	26611	8485
random275	HD2_scaffold_11	4333607	4347626	+	14020	4253
random276	HD2_scaffold_1	13778729	13780567	+	1839	666
random277	HD2_scaffold_5	12619554	12620642	+	1089	409
random278	HD2_scaffold_10	4990624	4992351	+	1728	638
random279	HD2_scaffold_1	27407315	27408944	+	1630	622
random280	HD2_scaffold_1	9929656	9955087	+	25432	7879
random281	HD2_scaffold_10	6673320	6676574	+	3255	1106
random282	HD2_scaffold_3	1773859	1789670	+	15812	4926
random283	HD2_scaffold_9	6775614	6777530	+	1917	735
random284	HD2_scaffold_1	12118647	12121117	+	2471	932
random285	HD2_scaffold_1	17757305	17783915	+	26611	8466
random286	HD2_scaffold_5	240905	254924	+	14020	4574
random287	HD2_scaffold_8	12209595	12211433	+	1839	680
random288	HD2_scaffold_5	9754469	9755557	+	1089	440
random289	HD2_scaffold_1	26245473	26247200	+	1728	619
random290	HD2_scaffold_7	10931522	10933151	+	1630	594
random291	HD2_scaffold_7	9923133	9948564	+	25432	8319
random292	HD2_scaffold_2	17264497	17267751	+	3255	1038
random293	HD2_scaffold_2	19089911	19105722	+	15812	4933
random294	HD2_scaffold_6	816547	818463	+	1917	640
random295	HD2_scaffold_2	4048123	4050593	+	2471	786
random296	HD2_scaffold_5	2922390	2949000	+	26611	8449
random297	HD2_scaffold_1	26754994	26769013	+	14020	4289
random298	HD2_scaffold_5	3952756	3954594	+	1839	667
random299	HD2_scaffold_1	2173513	2174601	+	1089	475
random300	HD2_scaffold_2	7563581	7565308	+	1728	693
random301	HD2_scaffold_5	4959709	4961338	+	1630	548
random302	HD2_scaffold_6	2339371	2364802	+	25432	7131
random303	HD2_scaffold_1	26770989	26774243	+	3255	1023
random304	HD2_scaffold_4	3787074	3802885	+	15812	5200
random305	HD2_scaffold_1	6605554	6607470	+	1917	729
random306	HD2_scaffold_6	11790491	11792961	+	2471	787
random307	HD2_scaffold_1	25803561	25830171	+	26611	8139
random308	HD2_scaffold_3	16869075	16883094	+	14020	4579
random309	HD2_scaffold_7	13026410	13028248	+	1839	674
random310	HD2_scaffold_2	14821267	14822355	+	1089	428
random311	HD2_scaffold_1	23844663	23846390	+	1728	531
random312	HD2_scaffold_3	10247497	10249126	+	1630	567
random313	HD2_scaffold_8	7438809	7464240	+	25432	7521
random314	HD2_scaffold_4	13998875	14002129	+	3255	1186
random315	HD2_scaffold_9	10762643	10778454	+	15812	3785
random316	HD2_scaffold_10	820760	822676	+	1917	543
random317	HD2_scaffold_5	10142430	10144900	+	2471	842
random318	HD2_scaffold_11	4319129	4345739	+	26611	8032
random319	HD2_scaffold_10	765357	779376	+	14020	3767
random320	HD2_scaffold_1	26132238	26134076	+	1839	643
random321	HD2_scaffold_3	16037399	16038487	+	1089	316
random322	HD2_scaffold_5	14873224	14874951	+	1728	416
random323	HD2_scaffold_5	4998158	4999787	+	1630	533
random324	HD2_scaffold_3	9988208	10013639	+	25432	7465
random325	HD2_scaffold_11	1639576	1642830	+	3255	1092
random326	HD2_scaffold_7	9091120	9106931	+	15812	5294
random327	HD2_scaffold_8	11404567	11406483	+	1917	622
random328	HD2_scaffold_1	3306185	3308655	+	2471	577
random329	HD2_scaffold_2	14531439	14558049	+	26611	8828
random330	HD2_scaffold_1	2204898	2218917	+	14020	4604
random331	HD2_scaffold_9	6760720	6762558	+	1839	240
random332	HD2_scaffold_2	7580332	7581420	+	1089	441
random333	HD2_scaffold_1	23973758	23975485	+	1728	634
random334	HD2_scaffold_5	12219777	12221406	+	1630	632
random335	HD2_scaffold_5	618550	643981	+	25432	10508
random336	HD2_scaffold_9	10955413	10958667	+	3255	1095
random337	HD2_scaffold_6	5371932	5387743	+	15812	5123
random338	HD2_scaffold_6	12549340	12551256	+	1917	818
random339	HD2_scaffold_2	20880930	20883400	+	2471	886
random340	HD2_scaffold_9	1788750	1815360	+	26611	9415
random341	HD2_scaffold_1	20485535	20499554	+	14020	4480
random342	HD2_scaffold_8	9540282	9542120	+	1839	718
random343	HD2_scaffold_3	2211791	2212879	+	1089	459
random344	HD2_scaffold_1	4638781	4640508	+	1728	614
random345	HD2_scaffold_2	22426588	22428217	+	1630	627
random346	HD2_scaffold_6	223806	249237	+	25432	7045
random347	HD2_scaffold_3	4762508	4765762	+	3255	990
random348	HD2_scaffold_1	2478817	2494628	+	15812	5107
random349	HD2_scaffold_3	15119329	15121245	+	1917	637
random350	HD2_scaffold_507	2674	5144	+	2471	1011
random351	HD2_scaffold_3	12644391	12671001	+	26611	8313
random352	HD2_scaffold_8	129324	143343	+	14020	5394
random353	HD2_scaffold_10	9118784	9120622	+	1839	631
random354	HD2_scaffold_2	3537800	3538888	+	1089	402
random355	HD2_scaffold_4	8514611	8516338	+	1728	597
random356	HD2_scaffold_1	9119699	9121328	+	1630	606
random357	HD2_scaffold_4	13361957	13387388	+	25432	7697
random358	HD2_scaffold_7	2129653	2132907	+	3255	1014
random359	HD2_scaffold_5	10823100	10838911	+	15812	4878
random360	HD2_scaffold_11	3991954	3993870	+	1917	711
random361	HD2_scaffold_10	6596735	6599205	+	2471	781
random362	HD2_scaffold_1	4539253	4565863	+	26611	8300
random363	HD2_scaffold_1	29172453	29186472	+	14020	4055
random364	HD2_scaffold_7	7260075	7261913	+	1839	668
random365	HD2_scaffold_1	19432470	19433558	+	1089	428
random366	HD2_scaffold_3	7111366	7113093	+	1728	690
random367	HD2_scaffold_7	1227218	1228847	+	1630	587
random368	HD2_scaffold_12	4237442	4262873	+	25432	6777
random369	HD2_scaffold_3	15867958	15871212	+	3255	1194
random370	HD2_scaffold_2	13224040	13239851	+	15812	4967
random371	HD2_scaffold_1	27273649	27275565	+	1917	655
random372	HD2_scaffold_8	12005575	12008045	+	2471	716
random373	HD2_scaffold_1	24719812	24746422	+	26611	8398
random374	HD2_scaffold_27	40979	54998	+	14020	3651
random375	HD2_scaffold_1	138476	140314	+	1839	582
random376	HD2_scaffold_10	6944918	6946006	+	1089	374
random377	HD2_scaffold_8	1830215	1831942	+	1728	638
random378	HD2_scaffold_5	13934357	13935986	+	1630	791
random379	HD2_scaffold_4	14812858	14838289	+	25432	7520
random380	HD2_scaffold_10	10824257	10827511	+	3255	1141
random381	HD2_scaffold_9	10444861	10460672	+	15812	4560
random382	HD2_scaffold_10	7177656	7179572	+	1917	687
random383	HD2_scaffold_1	20354726	20357196	+	2471	926
random384	HD2_scaffold_4	6868577	6895187	+	26611	8829
random385	HD2_scaffold_10	8134784	8148803	+	14020	4627
random386	HD2_scaffold_5	7280165	7282003	+	1839	636
random387	HD2_scaffold_2	14456538	14457626	+	1089	418
random388	HD2_scaffold_2	20467756	20469483	+	1728	683
random389	HD2_scaffold_8	2381819	2383448	+	1630	636
random390	HD2_scaffold_4	813080	838511	+	25432	7764
random391	HD2_scaffold_12	4420726	4423980	+	3255	1238
random392	HD2_scaffold_9	11702215	11718026	+	15812	3208
random393	HD2_scaffold_7	13802098	13804014	+	1917	1504
random394	HD2_scaffold_6	2687543	2690013	+	2471	859
random395	HD2_scaffold_3	6316920	6343530	+	26611	8263
random396	HD2_scaffold_11	5536807	5550826	+	14020	3950
random397	HD2_scaffold_1	9247133	9248971	+	1839	672
random398	HD2_scaffold_139	24667	25755	+	1089	180
random399	HD2_scaffold_9	720020	721747	+	1728	653
random400	HD2_scaffold_3	13413865	13415494	+	1630	606
random401	HD2_scaffold_7	13759319	13784750	+	25432	8017
random402	HD2_scaffold_11	2126927	2130181	+	3255	976
random403	HD2_scaffold_6	11429083	11444894	+	15812	5107
random404	HD2_scaffold_8	5411097	5413013	+	1917	738
random405	HD2_scaffold_10	3400126	3402596	+	2471	844
random406	HD2_scaffold_7	10911411	10938021	+	26611	9199
random407	HD2_scaffold_1	655267	669286	+	14020	2813
random408	HD2_scaffold_6	2341471	2343309	+	1839	662
random409	HD2_scaffold_1	2215265	2216353	+	1089	415
random410	HD2_scaffold_5	10009298	10011025	+	1728	613
random411	HD2_scaffold_3	15506367	15507996	+	1630	611
random412	HD2_scaffold_10	1702854	1728285	+	25432	7311
random413	HD2_scaffold_3	11699393	11702647	+	3255	1023
random414	HD2_scaffold_3	12057478	12073289	+	15812	5020
random415	HD2_scaffold_1	1879009	1880925	+	1917	467
random416	HD2_scaffold_3	18846147	18848617	+	2471	801
random417	HD2_scaffold_3	15663870	15690480	+	26611	8932
random418	HD2_scaffold_12	4771966	4785985	+	14020	2999
random419	HD2_scaffold_2	16449989	16451827	+	1839	724
random420	HD2_scaffold_12	6488280	6489368	+	1089	455
random421	HD2_scaffold_4	7585384	7587111	+	1728	660
random422	HD2_scaffold_5	1651866	1653495	+	1630	645
random423	HD2_scaffold_12	6541185	6566616	+	25432	8089
random424	HD2_scaffold_9	9562240	9565494	+	3255	1114
random425	HD2_scaffold_5	1752506	1768317	+	15812	5313
random426	HD2_scaffold_10	10486852	10488768	+	1917	735
random427	HD2_scaffold_9	4111087	4113557	+	2471	954
random428	HD2_scaffold_1	7892502	7919112	+	26611	8367
random429	HD2_scaffold_12	1154584	1168603	+	14020	4730
random430	HD2_scaffold_3	20750066	20751904	+	1839	694
random431	HD2_scaffold_13	84167	85255	+	1089	336
random432	HD2_scaffold_5	11073910	11075637	+	1728	600
random433	HD2_scaffold_5	14713798	14715427	+	1630	534
random434	HD2_scaffold_11	3054812	3080243	+	25432	7714
random435	HD2_scaffold_6	12356140	12359394	+	3255	1155
random436	HD2_scaffold_10	8374786	8390597	+	15812	5190
random437	HD2_scaffold_1	5738819	5740735	+	1917	718
random438	HD2_scaffold_7	2347145	2349615	+	2471	826
random439	HD2_scaffold_1	23695528	23722138	+	26611	8865
random440	HD2_scaffold_1	7537582	7551601	+	14020	4579
random441	HD2_scaffold_1	5028098	5029936	+	1839	715
random442	HD2_scaffold_10	7320135	7321223	+	1089	383
random443	HD2_scaffold_9	3050582	3052309	+	1728	662
random444	HD2_scaffold_7	3380288	3381917	+	1630	669
random445	HD2_scaffold_10	11096838	11122269	+	25432	8307
random446	HD2_scaffold_8	10586876	10590130	+	3255	989
random447	HD2_scaffold_9	11252795	11268606	+	15812	5423
random448	HD2_scaffold_5	9446922	9448838	+	1917	741
random449	HD2_scaffold_1	835888	838358	+	2471	610
random450	HD2_scaffold_9	6774520	6801130	+	26611	8360
random451	HD2_scaffold_77	24229	38248	+	14020	5804
random452	HD2_scaffold_7	3569440	3571278	+	1839	718
random453	HD2_scaffold_11	3495390	3496478	+	1089	517
random454	HD2_scaffold_6	9199433	9201160	+	1728	625
random455	HD2_scaffold_1	6370261	6371890	+	1630	542
random456	HD2_scaffold_2	698445	723876	+	25432	6711
random457	HD2_scaffold_5	9814150	9817404	+	3255	1098
random458	HD2_scaffold_9	9860166	9875977	+	15812	4929
random459	HD2_scaffold_6	9260503	9262419	+	1917	769
random460	HD2_scaffold_7	9385537	9388007	+	2471	850
random461	HD2_scaffold_3	9878901	9905511	+	26611	8642
random462	HD2_scaffold_6	12076760	12090779	+	14020	4930
random463	HD2_scaffold_3	8339769	8341607	+	1839	754
random464	HD2_scaffold_9	11123333	11124421	+	1089	173
random465	HD2_scaffold_11	5888111	5889838	+	1728	504
random466	HD2_scaffold_11	389211	390840	+	1630	534
random467	HD2_scaffold_8	3137328	3162759	+	25432	7896
