# Program:featureCounts v2.0.1; Command:"featureCounts" "../GFP_2.bam" "-a" "Hd2_IVSPER2.randoms.gff" "-o" "GFP_2.Hd2_IVSPER2.randoms.counts.txt" "-t" "random loci" "-g" "locus" "-C" "-p" "-s" "0" "-O" "-T" "12" 
Geneid	Chr	Start	End	Strand	Length	../GFP_2.bam
random96	HD2_scaffold_70	1036	2952	+	1917	667
random97	HD2_scaffold_3	4247149	4249619	+	2471	474
random98	HD2_scaffold_6	8968416	8995026	+	26611	5719
random99	HD2_scaffold_5	10137026	10151045	+	14020	2890
random100	HD2_scaffold_9	3376256	3378094	+	1839	368
random101	HD2_scaffold_10	8250580	8251668	+	1089	236
random102	HD2_scaffold_11	425483	427210	+	1728	321
random103	HD2_scaffold_7	5224399	5226028	+	1630	411
random104	HD2_scaffold_3	19710014	19735445	+	25432	4650
random105	HD2_scaffold_12	5844469	5847723	+	3255	379
random106	HD2_scaffold_3	18809799	18825610	+	15812	2827
random107	HD2_scaffold_3	4926037	4927953	+	1917	368
random108	HD2_scaffold_8	7849903	7852373	+	2471	420
random109	HD2_scaffold_1	25121289	25147899	+	26611	5023
random110	HD2_scaffold_4	5740839	5754858	+	14020	2742
random111	HD2_scaffold_1	24617060	24618898	+	1839	458
random112	HD2_scaffold_8	2933938	2935026	+	1089	288
random113	HD2_scaffold_1	12679474	12681201	+	1728	519
random114	HD2_scaffold_7	10579724	10581353	+	1630	400
random115	HD2_scaffold_1	9339692	9365123	+	25432	5081
random116	HD2_scaffold_10	9983420	9986674	+	3255	783
random117	HD2_scaffold_9	228567	244378	+	15812	3247
random118	HD2_scaffold_9	10803530	10805446	+	1917	288
random119	HD2_scaffold_10	11520043	11522513	+	2471	263
random120	HD2_scaffold_6	3498595	3525205	+	26611	5871
random121	HD2_scaffold_4	15679869	15693888	+	14020	2978
random122	HD2_scaffold_4	14222535	14224373	+	1839	329
random123	HD2_scaffold_1	17023581	17024669	+	1089	220
random124	HD2_scaffold_2	12375450	12377177	+	1728	362
random125	HD2_scaffold_290	8015	9644	+	1630	0
random126	HD2_scaffold_4	13813880	13839311	+	25432	5110
random127	HD2_scaffold_8	7637752	7641006	+	3255	529
random128	HD2_scaffold_56	1975	17786	+	15812	4221
random129	HD2_scaffold_5	3717375	3719291	+	1917	381
random130	HD2_scaffold_5	14236694	14239164	+	2471	377
random131	HD2_scaffold_7	13264050	13290660	+	26611	4919
random132	HD2_scaffold_2	19800034	19814053	+	14020	2775
random133	HD2_scaffold_10	8442122	8443960	+	1839	383
random134	HD2_scaffold_10	5531953	5533041	+	1089	336
random135	HD2_scaffold_5	6496281	6498008	+	1728	452
random136	HD2_scaffold_12	4142280	4143909	+	1630	445
random137	HD2_scaffold_5	9816324	9841755	+	25432	5413
random138	HD2_scaffold_195	6828	10082	+	3255	1093
random139	HD2_scaffold_1	19426094	19441905	+	15812	3178
random140	HD2_scaffold_7	12013484	12015400	+	1917	368
random141	HD2_scaffold_9	3464857	3467327	+	2471	502
random142	HD2_scaffold_10	7267060	7293670	+	26611	5453
random143	HD2_scaffold_10	5745079	5759098	+	14020	2907
random144	HD2_scaffold_4	13008977	13010815	+	1839	337
random145	HD2_scaffold_2	2225566	2226654	+	1089	158
random146	HD2_scaffold_12	5293418	5295145	+	1728	349
random147	HD2_scaffold_10	2961903	2963532	+	1630	279
random148	HD2_scaffold_12	1543489	1568920	+	25432	4322
random149	HD2_scaffold_46	12214	15468	+	3255	588
random150	HD2_scaffold_4	6552842	6568653	+	15812	3281
random151	HD2_scaffold_42	15563	17479	+	1917	338
random152	HD2_scaffold_7	9441619	9444089	+	2471	510
random153	HD2_scaffold_5	13487249	13513859	+	26611	7685
random154	HD2_scaffold_4	10543036	10557055	+	14020	2915
random155	HD2_scaffold_3	6927406	6929244	+	1839	483
random156	HD2_scaffold_10	11051176	11052264	+	1089	277
random157	HD2_scaffold_10	6319561	6321288	+	1728	518
random158	HD2_scaffold_11	26574	28203	+	1630	219
random159	HD2_scaffold_8	1144457	1169888	+	25432	5449
random160	HD2_scaffold_1	3922825	3926079	+	3255	647
random161	HD2_scaffold_4	15004780	15020591	+	15812	2871
random162	HD2_scaffold_3	12737045	12738961	+	1917	414
random163	HD2_scaffold_10	7061364	7063834	+	2471	525
random164	HD2_scaffold_5	13265670	13292280	+	26611	4432
random165	HD2_scaffold_10	317127	331146	+	14020	3527
random166	HD2_scaffold_2	11025800	11027638	+	1839	441
random167	HD2_scaffold_188	11552	12640	+	1089	151
random168	HD2_scaffold_3	13295522	13297249	+	1728	277
random169	HD2_scaffold_2	3210962	3212591	+	1630	449
random170	HD2_scaffold_1	17377155	17402586	+	25432	4510
random171	HD2_scaffold_3	10029408	10032662	+	3255	674
random172	HD2_scaffold_6	630195	646006	+	15812	2310
random173	HD2_scaffold_1	28375569	28377485	+	1917	415
random174	HD2_scaffold_3	15521287	15523757	+	2471	535
random175	HD2_scaffold_10	3625057	3651667	+	26611	18495
random176	HD2_scaffold_3	18465263	18479282	+	14020	2139
random177	HD2_scaffold_9	6098149	6099987	+	1839	438
random178	HD2_scaffold_3	12496149	12497237	+	1089	214
random179	HD2_scaffold_7	1647993	1649720	+	1728	363
random180	HD2_scaffold_4	11280909	11282538	+	1630	423
random181	HD2_scaffold_1	23543145	23568576	+	25432	5097
random182	HD2_scaffold_4	1413972	1417226	+	3255	693
random183	HD2_scaffold_8	12208500	12224311	+	15812	3555
random184	HD2_scaffold_4	12252847	12254763	+	1917	438
random185	HD2_scaffold_2	3417273	3419743	+	2471	525
random186	HD2_scaffold_9	3100417	3127027	+	26611	5103
random187	HD2_scaffold_3	19241108	19255127	+	14020	2148
random188	HD2_scaffold_2	22613208	22615046	+	1839	437
random189	HD2_scaffold_1	6776509	6777597	+	1089	268
random190	HD2_scaffold_10	8885740	8887467	+	1728	435
random191	HD2_scaffold_57	29657	31286	+	1630	496
random192	HD2_scaffold_10	6015073	6040504	+	25432	5139
random193	HD2_scaffold_5	11119911	11123165	+	3255	639
random194	HD2_scaffold_6	2061910	2077721	+	15812	1995
random195	HD2_scaffold_4	8094328	8096244	+	1917	435
random196	HD2_scaffold_28	52997	55467	+	2471	295
random197	HD2_scaffold_6	1382199	1408809	+	26611	3309
random198	HD2_scaffold_3	17535728	17549747	+	14020	3332
random199	HD2_scaffold_8	7804457	7806295	+	1839	294
random200	HD2_scaffold_3	2595414	2596502	+	1089	274
random201	HD2_scaffold_9	3539485	3541212	+	1728	360
random202	HD2_scaffold_5	2604506	2606135	+	1630	398
random203	HD2_scaffold_11	3417625	3443056	+	25432	6158
random204	HD2_scaffold_1	21029923	21033177	+	3255	704
random205	HD2_scaffold_1	3055712	3071523	+	15812	2991
random206	HD2_scaffold_1	2985794	2987710	+	1917	388
random207	HD2_scaffold_1	18068883	18071353	+	2471	556
random208	HD2_scaffold_12	6615637	6642247	+	26611	6507
random209	HD2_scaffold_3	11433454	11447473	+	14020	2524
random210	HD2_scaffold_6	1244024	1245862	+	1839	194
random211	HD2_scaffold_12	4411346	4412434	+	1089	253
random212	HD2_scaffold_2	1433228	1434955	+	1728	373
random213	HD2_scaffold_2	7235927	7237556	+	1630	331
random214	HD2_scaffold_6	7423295	7448726	+	25432	5515
random215	HD2_scaffold_249	6602	9856	+	3255	16012
random216	HD2_scaffold_17	6348	22159	+	15812	4143
random217	HD2_scaffold_1	11121493	11123409	+	1917	482
random218	HD2_scaffold_6	5131095	5133565	+	2471	425
random219	HD2_scaffold_3	18210390	18237000	+	26611	5897
random220	HD2_scaffold_166	2379	16398	+	14020	1817
random221	HD2_scaffold_189	520	2358	+	1839	186
random222	HD2_scaffold_6	3363593	3364681	+	1089	323
random223	HD2_scaffold_2	5931211	5932938	+	1728	413
random224	HD2_scaffold_6	13962349	13963978	+	1630	398
random225	HD2_scaffold_9	11084560	11109991	+	25432	3567
random226	HD2_scaffold_10	2035664	2038918	+	3255	497
random227	HD2_scaffold_10	6089920	6105731	+	15812	3504
random228	HD2_scaffold_35	31605	33521	+	1917	692
random229	HD2_scaffold_4	4669571	4672041	+	2471	586
random230	HD2_scaffold_6	13912813	13939423	+	26611	5847
random231	HD2_scaffold_3	16139259	16153278	+	14020	2944
random232	HD2_scaffold_4	11097357	11099195	+	1839	365
random233	HD2_scaffold_5	4076231	4077319	+	1089	244
random234	HD2_scaffold_6	13699447	13701174	+	1728	428
random235	HD2_scaffold_2	15278362	15279991	+	1630	342
random236	HD2_scaffold_1	19728388	19753819	+	25432	4725
random237	HD2_scaffold_3	6203584	6206838	+	3255	673
random238	HD2_scaffold_4	812417	828228	+	15812	2889
random239	HD2_scaffold_6	825419	827335	+	1917	271
random240	HD2_scaffold_15	86006	88476	+	2471	283
random241	HD2_scaffold_2	6078722	6105332	+	26611	5235
random242	HD2_scaffold_6	1327025	1341044	+	14020	2669
random243	HD2_scaffold_12	5099275	5101113	+	1839	95
random244	HD2_scaffold_2	18895459	18896547	+	1089	269
random245	HD2_scaffold_11	660154	661881	+	1728	376
random246	HD2_scaffold_4	15471346	15472975	+	1630	302
random247	HD2_scaffold_3	4307745	4333176	+	25432	6301
random248	HD2_scaffold_2	10249117	10252371	+	3255	649
random249	HD2_scaffold_5	15100652	15116463	+	15812	2552
random250	HD2_scaffold_4	7805619	7807535	+	1917	445
random251	HD2_scaffold_12	516350	518820	+	2471	460
random252	HD2_scaffold_10	884186	910796	+	26611	4625
random253	HD2_scaffold_2	18047408	18061427	+	14020	2801
random254	HD2_scaffold_10	7921269	7923107	+	1839	452
random255	HD2_scaffold_4	9374256	9375344	+	1089	334
random256	HD2_scaffold_5	6702466	6704193	+	1728	341
random257	HD2_scaffold_3	7653277	7654906	+	1630	335
random258	HD2_scaffold_8	11309584	11335015	+	25432	4946
random259	HD2_scaffold_8	8837294	8840548	+	3255	661
random260	HD2_scaffold_8	3309547	3325358	+	15812	3369
random261	HD2_scaffold_8	6506440	6508356	+	1917	500
random262	HD2_scaffold_9	6961803	6964273	+	2471	624
random263	HD2_scaffold_11	6248719	6275329	+	26611	4774
random264	HD2_scaffold_7	5146718	5160737	+	14020	3212
random265	HD2_scaffold_2	45963	47801	+	1839	517
random266	HD2_scaffold_3	7846688	7847776	+	1089	273
random267	HD2_scaffold_1	7798696	7800423	+	1728	344
random268	HD2_scaffold_3	17736645	17738274	+	1630	319
random269	HD2_scaffold_11	4633836	4659267	+	25432	4502
random270	HD2_scaffold_48	17384	20638	+	3255	1114
random271	HD2_scaffold_4	1707750	1723561	+	15812	3185
random272	HD2_scaffold_7	10749185	10751101	+	1917	326
random273	HD2_scaffold_2	330451	332921	+	2471	522
random274	HD2_scaffold_8	1318393	1345003	+	26611	5233
random275	HD2_scaffold_11	4333607	4347626	+	14020	2186
random276	HD2_scaffold_1	13778729	13780567	+	1839	446
random277	HD2_scaffold_5	12619554	12620642	+	1089	197
random278	HD2_scaffold_10	4990624	4992351	+	1728	498
random279	HD2_scaffold_1	27407315	27408944	+	1630	402
random280	HD2_scaffold_1	9929656	9955087	+	25432	5213
random281	HD2_scaffold_10	6673320	6676574	+	3255	682
random282	HD2_scaffold_3	1773859	1789670	+	15812	3036
random283	HD2_scaffold_9	6775614	6777530	+	1917	363
random284	HD2_scaffold_1	12118647	12121117	+	2471	545
random285	HD2_scaffold_1	17757305	17783915	+	26611	4997
random286	HD2_scaffold_5	240905	254924	+	14020	3095
random287	HD2_scaffold_8	12209595	12211433	+	1839	445
random288	HD2_scaffold_5	9754469	9755557	+	1089	297
random289	HD2_scaffold_1	26245473	26247200	+	1728	338
random290	HD2_scaffold_7	10931522	10933151	+	1630	359
random291	HD2_scaffold_7	9923133	9948564	+	25432	5452
random292	HD2_scaffold_2	17264497	17267751	+	3255	609
random293	HD2_scaffold_2	19089911	19105722	+	15812	3241
random294	HD2_scaffold_6	816547	818463	+	1917	382
random295	HD2_scaffold_2	4048123	4050593	+	2471	413
random296	HD2_scaffold_5	2922390	2949000	+	26611	5541
random297	HD2_scaffold_1	26754994	26769013	+	14020	2880
random298	HD2_scaffold_5	3952756	3954594	+	1839	423
random299	HD2_scaffold_1	2173513	2174601	+	1089	302
random300	HD2_scaffold_2	7563581	7565308	+	1728	373
random301	HD2_scaffold_5	4959709	4961338	+	1630	312
random302	HD2_scaffold_6	2339371	2364802	+	25432	4112
random303	HD2_scaffold_1	26770989	26774243	+	3255	627
random304	HD2_scaffold_4	3787074	3802885	+	15812	3127
random305	HD2_scaffold_1	6605554	6607470	+	1917	470
random306	HD2_scaffold_6	11790491	11792961	+	2471	467
random307	HD2_scaffold_1	25803561	25830171	+	26611	5553
random308	HD2_scaffold_3	16869075	16883094	+	14020	2879
random309	HD2_scaffold_7	13026410	13028248	+	1839	463
random310	HD2_scaffold_2	14821267	14822355	+	1089	259
random311	HD2_scaffold_1	23844663	23846390	+	1728	316
random312	HD2_scaffold_3	10247497	10249126	+	1630	349
random313	HD2_scaffold_8	7438809	7464240	+	25432	4250
random314	HD2_scaffold_4	13998875	14002129	+	3255	663
random315	HD2_scaffold_9	10762643	10778454	+	15812	2558
random316	HD2_scaffold_10	820760	822676	+	1917	326
random317	HD2_scaffold_5	10142430	10144900	+	2471	601
random318	HD2_scaffold_11	4319129	4345739	+	26611	4206
random319	HD2_scaffold_10	765357	779376	+	14020	2310
random320	HD2_scaffold_1	26132238	26134076	+	1839	486
random321	HD2_scaffold_3	16037399	16038487	+	1089	155
random322	HD2_scaffold_5	14873224	14874951	+	1728	209
random323	HD2_scaffold_5	4998158	4999787	+	1630	384
random324	HD2_scaffold_3	9988208	10013639	+	25432	4495
random325	HD2_scaffold_11	1639576	1642830	+	3255	682
random326	HD2_scaffold_7	9091120	9106931	+	15812	3378
random327	HD2_scaffold_8	11404567	11406483	+	1917	322
random328	HD2_scaffold_1	3306185	3308655	+	2471	305
random329	HD2_scaffold_2	14531439	14558049	+	26611	5733
random330	HD2_scaffold_1	2204898	2218917	+	14020	3338
random331	HD2_scaffold_9	6760720	6762558	+	1839	157
random332	HD2_scaffold_2	7580332	7581420	+	1089	267
random333	HD2_scaffold_1	23973758	23975485	+	1728	423
random334	HD2_scaffold_5	12219777	12221406	+	1630	356
random335	HD2_scaffold_5	618550	643981	+	25432	5788
random336	HD2_scaffold_9	10955413	10958667	+	3255	563
random337	HD2_scaffold_6	5371932	5387743	+	15812	3181
random338	HD2_scaffold_6	12549340	12551256	+	1917	391
random339	HD2_scaffold_2	20880930	20883400	+	2471	602
random340	HD2_scaffold_9	1788750	1815360	+	26611	5609
random341	HD2_scaffold_1	20485535	20499554	+	14020	2696
random342	HD2_scaffold_8	9540282	9542120	+	1839	406
random343	HD2_scaffold_3	2211791	2212879	+	1089	292
random344	HD2_scaffold_1	4638781	4640508	+	1728	377
random345	HD2_scaffold_2	22426588	22428217	+	1630	365
random346	HD2_scaffold_6	223806	249237	+	25432	4272
random347	HD2_scaffold_3	4762508	4765762	+	3255	649
random348	HD2_scaffold_1	2478817	2494628	+	15812	3132
random349	HD2_scaffold_3	15119329	15121245	+	1917	341
random350	HD2_scaffold_507	2674	5144	+	2471	861
random351	HD2_scaffold_3	12644391	12671001	+	26611	5105
random352	HD2_scaffold_8	129324	143343	+	14020	3702
random353	HD2_scaffold_10	9118784	9120622	+	1839	447
random354	HD2_scaffold_2	3537800	3538888	+	1089	228
random355	HD2_scaffold_4	8514611	8516338	+	1728	414
random356	HD2_scaffold_1	9119699	9121328	+	1630	363
random357	HD2_scaffold_4	13361957	13387388	+	25432	4583
random358	HD2_scaffold_7	2129653	2132907	+	3255	571
random359	HD2_scaffold_5	10823100	10838911	+	15812	3301
random360	HD2_scaffold_11	3991954	3993870	+	1917	440
random361	HD2_scaffold_10	6596735	6599205	+	2471	518
random362	HD2_scaffold_1	4539253	4565863	+	26611	5012
random363	HD2_scaffold_1	29172453	29186472	+	14020	2234
random364	HD2_scaffold_7	7260075	7261913	+	1839	417
random365	HD2_scaffold_1	19432470	19433558	+	1089	256
random366	HD2_scaffold_3	7111366	7113093	+	1728	441
random367	HD2_scaffold_7	1227218	1228847	+	1630	379
random368	HD2_scaffold_12	4237442	4262873	+	25432	3676
random369	HD2_scaffold_3	15867958	15871212	+	3255	758
random370	HD2_scaffold_2	13224040	13239851	+	15812	3411
random371	HD2_scaffold_1	27273649	27275565	+	1917	436
random372	HD2_scaffold_8	12005575	12008045	+	2471	460
random373	HD2_scaffold_1	24719812	24746422	+	26611	5000
random374	HD2_scaffold_27	40979	54998	+	14020	2738
random375	HD2_scaffold_1	138476	140314	+	1839	298
random376	HD2_scaffold_10	6944918	6946006	+	1089	255
random377	HD2_scaffold_8	1830215	1831942	+	1728	384
random378	HD2_scaffold_5	13934357	13935986	+	1630	399
random379	HD2_scaffold_4	14812858	14838289	+	25432	4057
random380	HD2_scaffold_10	10824257	10827511	+	3255	739
random381	HD2_scaffold_9	10444861	10460672	+	15812	2547
random382	HD2_scaffold_10	7177656	7179572	+	1917	422
random383	HD2_scaffold_1	20354726	20357196	+	2471	537
random384	HD2_scaffold_4	6868577	6895187	+	26611	5699
random385	HD2_scaffold_10	8134784	8148803	+	14020	2713
random386	HD2_scaffold_5	7280165	7282003	+	1839	430
random387	HD2_scaffold_2	14456538	14457626	+	1089	289
random388	HD2_scaffold_2	20467756	20469483	+	1728	430
random389	HD2_scaffold_8	2381819	2383448	+	1630	412
random390	HD2_scaffold_4	813080	838511	+	25432	4554
random391	HD2_scaffold_12	4420726	4423980	+	3255	706
random392	HD2_scaffold_9	11702215	11718026	+	15812	1677
random393	HD2_scaffold_7	13802098	13804014	+	1917	953
random394	HD2_scaffold_6	2687543	2690013	+	2471	455
random395	HD2_scaffold_3	6316920	6343530	+	26611	5364
random396	HD2_scaffold_11	5536807	5550826	+	14020	2335
random397	HD2_scaffold_1	9247133	9248971	+	1839	363
random398	HD2_scaffold_139	24667	25755	+	1089	145
random399	HD2_scaffold_9	720020	721747	+	1728	436
random400	HD2_scaffold_3	13413865	13415494	+	1630	343
random401	HD2_scaffold_7	13759319	13784750	+	25432	4593
random402	HD2_scaffold_11	2126927	2130181	+	3255	524
random403	HD2_scaffold_6	11429083	11444894	+	15812	3154
random404	HD2_scaffold_8	5411097	5413013	+	1917	443
random405	HD2_scaffold_10	3400126	3402596	+	2471	520
random406	HD2_scaffold_7	10911411	10938021	+	26611	5570
random407	HD2_scaffold_1	655267	669286	+	14020	1597
random408	HD2_scaffold_6	2341471	2343309	+	1839	347
random409	HD2_scaffold_1	2215265	2216353	+	1089	278
random410	HD2_scaffold_5	10009298	10011025	+	1728	360
random411	HD2_scaffold_3	15506367	15507996	+	1630	387
random412	HD2_scaffold_10	1702854	1728285	+	25432	4059
random413	HD2_scaffold_3	11699393	11702647	+	3255	549
random414	HD2_scaffold_3	12057478	12073289	+	15812	3166
random415	HD2_scaffold_1	1879009	1880925	+	1917	271
random416	HD2_scaffold_3	18846147	18848617	+	2471	521
random417	HD2_scaffold_3	15663870	15690480	+	26611	5688
random418	HD2_scaffold_12	4771966	4785985	+	14020	1593
random419	HD2_scaffold_2	16449989	16451827	+	1839	420
random420	HD2_scaffold_12	6488280	6489368	+	1089	268
random421	HD2_scaffold_4	7585384	7587111	+	1728	362
random422	HD2_scaffold_5	1651866	1653495	+	1630	329
random423	HD2_scaffold_12	6541185	6566616	+	25432	5253
random424	HD2_scaffold_9	9562240	9565494	+	3255	698
random425	HD2_scaffold_5	1752506	1768317	+	15812	3285
random426	HD2_scaffold_10	10486852	10488768	+	1917	469
random427	HD2_scaffold_9	4111087	4113557	+	2471	585
random428	HD2_scaffold_1	7892502	7919112	+	26611	4985
random429	HD2_scaffold_12	1154584	1168603	+	14020	2903
random430	HD2_scaffold_3	20750066	20751904	+	1839	549
random431	HD2_scaffold_13	84167	85255	+	1089	257
random432	HD2_scaffold_5	11073910	11075637	+	1728	436
random433	HD2_scaffold_5	14713798	14715427	+	1630	387
random434	HD2_scaffold_11	3054812	3080243	+	25432	4546
random435	HD2_scaffold_6	12356140	12359394	+	3255	748
random436	HD2_scaffold_10	8374786	8390597	+	15812	3133
random437	HD2_scaffold_1	5738819	5740735	+	1917	373
random438	HD2_scaffold_7	2347145	2349615	+	2471	550
random439	HD2_scaffold_1	23695528	23722138	+	26611	5688
random440	HD2_scaffold_1	7537582	7551601	+	14020	3026
random441	HD2_scaffold_1	5028098	5029936	+	1839	414
random442	HD2_scaffold_10	7320135	7321223	+	1089	245
random443	HD2_scaffold_9	3050582	3052309	+	1728	345
random444	HD2_scaffold_7	3380288	3381917	+	1630	363
random445	HD2_scaffold_10	11096838	11122269	+	25432	5174
random446	HD2_scaffold_8	10586876	10590130	+	3255	610
random447	HD2_scaffold_9	11252795	11268606	+	15812	2976
random448	HD2_scaffold_5	9446922	9448838	+	1917	437
random449	HD2_scaffold_1	835888	838358	+	2471	270
random450	HD2_scaffold_9	6774520	6801130	+	26611	5268
random451	HD2_scaffold_77	24229	38248	+	14020	4365
random452	HD2_scaffold_7	3569440	3571278	+	1839	316
random453	HD2_scaffold_11	3495390	3496478	+	1089	304
random454	HD2_scaffold_6	9199433	9201160	+	1728	340
random455	HD2_scaffold_1	6370261	6371890	+	1630	342
random456	HD2_scaffold_2	698445	723876	+	25432	3931
random457	HD2_scaffold_5	9814150	9817404	+	3255	677
random458	HD2_scaffold_9	9860166	9875977	+	15812	3216
random459	HD2_scaffold_6	9260503	9262419	+	1917	461
random460	HD2_scaffold_7	9385537	9388007	+	2471	468
random461	HD2_scaffold_3	9878901	9905511	+	26611	4880
random462	HD2_scaffold_6	12076760	12090779	+	14020	3031
random463	HD2_scaffold_3	8339769	8341607	+	1839	472
random464	HD2_scaffold_9	11123333	11124421	+	1089	89
random465	HD2_scaffold_11	5888111	5889838	+	1728	291
random466	HD2_scaffold_11	389211	390840	+	1630	291
random467	HD2_scaffold_8	3137328	3162759	+	25432	5253
random468	HD2_scaffold_5	5847516	5850770	+	3255	608
